區域,年出生數,年中人口(6月底),出生率
南投縣中寮鄉,68,14460,4.7
南投縣仁愛鄉,168,15824,10.62
南投縣信義鄉,142,15899,8.93
南投縣南投市,614,99263,6.19
南投縣名間鄉,195,37728,5.17
南投縣國姓鄉,98,18056,5.43
南投縣埔里鎮,461,79556,5.79
南投縣水里鄉,80,17177,4.66
南投縣竹山鎮,301,53684,5.61
南投縣草屯鎮,752,97659,7.7
南投縣集集鎮,51,10554,4.83
南投縣魚池鄉,106,15544,6.82
南投縣鹿谷鄉,106,17329,6.12
嘉義市東區,606,120299,5.04
嘉義市西區,820,146735,5.59
嘉義縣中埔鄉,305,44229,6.9
嘉義縣六腳鄉,102,22374,4.56
嘉義縣大埔鄉,34,4581,7.42
嘉義縣大林鎮,145,30563,4.74
嘉義縣太保市,314,38408,8.18
嘉義縣布袋鎮,134,26180,5.12
嘉義縣新港鄉,185,31324,5.91
嘉義縣朴子市,250,41778,5.98
嘉義縣東石鄉,114,23937,4.76
嘉義縣梅山鄉,85,18809,4.52
嘉義縣民雄鄉,398,71305,5.58
嘉義縣水上鄉,273,49076,5.56
嘉義縣溪口鄉,69,14191,4.86
嘉義縣番路鄉,49,11185,4.38
嘉義縣竹崎鄉,225,34977,6.43
嘉義縣義竹鄉,104,17744,5.86
嘉義縣阿里山鄉,52,5543,9.38
嘉義縣鹿草鄉,84,15008,5.6
基隆市七堵區,279,53688,5.2
基隆市中山區,266,46665,5.7
基隆市中正區,296,51341,5.77
基隆市仁愛區,210,43105,4.87
基隆市信義區,313,52918,5.91
基隆市安樂區,427,82211,5.19
基隆市暖暖區,216,38600,5.6
宜蘭縣三星鄉,89,21243,4.19
宜蘭縣五結鄉,386,40133,9.62
宜蘭縣冬山鄉,382,53229,7.18
宜蘭縣南澳鄉,83,5893,14.08
宜蘭縣員山鄉,188,32275,5.82
宜蘭縣壯圍鄉,123,24357,5.05
宜蘭縣大同鄉,82,6110,13.42
宜蘭縣宜蘭市,542,95595,5.67
宜蘭縣礁溪鄉,228,35356,6.45
宜蘭縣羅東鎮,348,71740,4.85
宜蘭縣蘇澳鎮,213,39038,5.46
宜蘭縣頭城鎮,190,28922,6.57
屏東縣三地門鄉,83,7656,10.84
屏東縣九如鄉,129,22011,5.86
屏東縣佳冬鄉,119,18714,6.36
屏東縣來義鄉,88,7436,11.83
屏東縣內埔鄉,168,53403,3.15
屏東縣南州鄉,41,10420,3.93
屏東縣屏東市,1035,198499,5.21
屏東縣崁頂鄉,68,15278,4.45
屏東縣恆春鎮,270,30507,8.85
屏東縣新園鄉,144,34176,4.21
屏東縣新埤鄉,49,9660,5.07
屏東縣春日鄉,57,4930,11.56
屏東縣東港鎮,199,46944,4.24
屏東縣枋寮鄉,110,23853,4.61
屏東縣枋山鄉,23,5259,4.37
屏東縣林邊鄉,85,17426,4.88
屏東縣泰武鄉,39,5377,7.25
屏東縣滿州鄉,22,7548,2.91
屏東縣潮州鎮,281,53951,5.21
屏東縣牡丹鄉,34,4852,7.01
屏東縣獅子鄉,40,4871,8.21
屏東縣琉球鄉,75,12135,6.18
屏東縣瑪家鄉,68,6730,10.1
屏東縣竹田鄉,66,16728,3.95
屏東縣萬丹鄉,264,50335,5.24
屏東縣萬巒鄉,149,20294,7.34
屏東縣車城鄉,35,8337,4.2
屏東縣里港鄉,207,25727,8.05
屏東縣長治鄉,122,29543,4.13
屏東縣霧臺鄉,27,3272,8.25
屏東縣高樹鄉,156,23886,6.53
屏東縣鹽埔鄉,136,25174,5.4
屏東縣麟洛鄉,52,10857,4.79
彰化縣二林鎮,423,49831,8.49
彰化縣二水鄉,122,14723,8.29
彰化縣伸港鄉,458,37587,12.19
彰化縣北斗鎮,347,33346,10.41
彰化縣和美鎮,867,90235,9.61
彰化縣員林市,1221,125180,9.75
彰化縣埔心鄉,280,34586,8.1
彰化縣埔鹽鄉,306,32045,9.55
彰化縣埤頭鄉,315,30229,10.42
彰化縣大城鄉,119,16233,7.33
彰化縣大村鄉,371,37122,9.99
彰化縣彰化市,2176,232035,9.38
彰化縣永靖鄉,340,36478,9.32
彰化縣溪州鄉,264,29204,9.04
彰化縣溪湖鎮,558,55054,10.14
彰化縣田中鎮,371,41012,9.05
彰化縣田尾鄉,254,26851,9.46
彰化縣社頭鄉,415,42538,9.76
彰化縣福興鄉,451,46593,9.68
彰化縣秀水鄉,371,39029,9.51
彰化縣竹塘鄉,119,14845,8.02
彰化縣線西鄉,161,16697,9.64
彰化縣芬園鄉,239,23290,10.26
彰化縣花壇鄉,435,45401,9.58
彰化縣芳苑鄉,302,32949,9.17
彰化縣鹿港鎮,811,86698,9.35
新北市三峽區,804,116898,6.88
新北市三芝區,124,22693,5.46
新北市三重區,2467,385701,6.4
新北市中和區,2457,412439,5.96
新北市五股區,679,88890,7.64
新北市八里區,305,39545,7.71
新北市土城區,1627,238085,6.83
新北市坪林區,24,6720,3.57
新北市平溪區,12,4483,2.68
新北市新店區,1716,303508,5.65
新北市新莊區,3073,421687,7.29
新北市板橋區,3694,557279,6.63
新北市林口區,1014,118358,8.57
新北市樹林區,1303,183894,7.09
新北市永和區,1081,220301,4.91
新北市汐止區,1210,204766,5.91
新北市泰山區,552,78616,7.02
新北市淡水區,1160,181067,6.41
新北市深坑區,124,23771,5.22
新北市烏來區,79,6352,12.44
新北市瑞芳區,239,39258,6.09
新北市石碇區,38,7573,5.02
新北市石門區,55,11609,4.74
新北市萬里區,133,21748,6.12
新北市蘆洲區,1433,202279,7.08
新北市貢寮區,46,11898,3.87
新北市金山區,123,21226,5.79
新北市雙溪區,30,8544,3.51
新北市鶯歌區,579,87458,6.62
新竹市北區,1155,152612,7.57
新竹市東區,1749,218751,8
新竹市香山區,679,78658,8.63
新竹縣五峰鄉,50,4493,11.13
新竹縣北埔鄉,57,9080,6.28
新竹縣寶山鄉,106,14590,7.27
新竹縣尖石鄉,123,9583,12.84
新竹縣峨眉鄉,27,5458,4.95
新竹縣新埔鎮,198,32869,6.02
新竹縣新豐鄉,336,57431,5.85
新竹縣橫山鄉,60,12650,4.74
新竹縣湖口鄉,546,78270,6.98
新竹縣竹北市,1839,197534,9.31
新竹縣竹東鎮,615,97193,6.33
新竹縣芎林鄉,147,19929,7.38
新竹縣關西鎮,204,27918,7.31
桃園市中壢區,3966,419499,9.45
桃園市八德區,2096,207532,10.1
桃園市大園區,962,93341,10.31
桃園市大溪區,887,95679,9.27
桃園市平鎮區,2213,228624,9.68
桃園市復興區,178,12319,14.45
桃園市新屋區,435,49271,8.83
桃園市桃園區,3884,454722,8.54
桃園市楊梅區,1774,174199,10.18
桃園市蘆竹區,1572,166908,9.42
桃園市觀音區,622,68317,9.1
桃園市龍潭區,1184,124187,9.53
桃園市龜山區,1671,163501,10.22
澎湖縣七美鄉,47,3836,12.25
澎湖縣望安鄉,52,5291,9.83
澎湖縣湖西鄉,154,15048,10.23
澎湖縣白沙鄉,94,9821,9.57
澎湖縣西嶼鄉,110,8285,13.28
澎湖縣馬公市,539,62747,8.59
臺中市中區,79,18307,4.32
臺中市北區,907,146747,6.18
臺中市北屯區,2152,285199,7.55
臺中市南區,860,126649,6.79
臺中市南屯區,1191,174798,6.81
臺中市后里區,415,54493,7.62
臺中市和平區,56,10838,5.17
臺中市外埔區,239,32073,7.45
臺中市大安區,113,18996,5.95
臺中市大甲區,562,76434,7.35
臺中市大肚區,370,56861,6.51
臺中市大里區,1465,212730,6.89
臺中市大雅區,728,95720,7.61
臺中市太平區,1462,194464,7.52
臺中市新社區,125,24195,5.17
臺中市東勢區,294,49483,5.94
臺中市東區,505,75844,6.66
臺中市梧棲區,447,59154,7.56
臺中市沙鹿區,820,95038,8.63
臺中市清水區,634,87733,7.23
臺中市潭子區,745,109287,6.82
臺中市烏日區,580,75790,7.65
臺中市石岡區,80,14689,5.45
臺中市神岡區,494,65598,7.53
臺中市西區,593,115049,5.15
臺中市西屯區,1536,230785,6.66
臺中市豐原區,1110,166594,6.66
臺中市霧峰區,463,65224,7.1
臺中市龍井區,588,78145,7.52
臺北市中山區,1686,225712,7.47
臺北市中正區,1058,156746,6.75
臺北市信義區,1670,217569,7.68
臺北市內湖區,2267,284132,7.98
臺北市北投區,1925,251724,7.65
臺北市南港區,942,119716,7.87
臺北市士林區,2009,280942,7.15
臺北市大同區,958,125063,7.66
臺北市大安區,2021,305389,6.62
臺北市文山區,1848,269927,6.85
臺北市松山區,1312,202326,6.48
臺北市萬華區,1333,184897,7.21
臺南市七股區,113,22259,5.08
臺南市下營區,113,23568,4.79
臺南市中西區,352,78233,4.5
臺南市仁德區,507,76277,6.65
臺南市佳里區,327,58981,5.54
臺南市六甲區,101,21761,4.64
臺南市北區,743,130736,5.68
臺南市北門區,57,10721,5.32
臺南市南化區,48,8479,5.66
臺南市南區,688,124362,5.53
臺南市善化區,398,50359,7.9
臺南市大內區,46,9312,4.94
臺南市學甲區,143,25466,5.62
臺南市安南區,1389,194862,7.13
臺南市安定區,183,30384,6.02
臺南市安平區,365,67169,5.43
臺南市官田區,90,21319,4.22
臺南市將軍區,67,19194,3.49
臺南市山上區,46,7163,6.42
臺南市左鎮區,11,4625,2.38
臺南市後壁區,96,22834,4.2
臺南市新化區,261,43298,6.03
臺南市新市區,285,37487,7.6
臺南市新營區,384,76743,5
臺南市東區,845,185472,4.56
臺南市東山區,101,20303,4.97
臺南市柳營區,116,20931,5.54
臺南市楠西區,35,9270,3.78
臺南市歸仁區,419,68282,6.14
臺南市永康區,1567,235636,6.65
臺南市玉井區,62,13696,4.53
臺南市白河區,124,27492,4.51
臺南市西港區,161,24455,6.58
臺南市關廟區,194,34068,5.69
臺南市鹽水區,141,25052,5.63
臺南市麻豆區,197,43822,4.5
臺南市龍崎區,8,3820,2.09
臺東縣卑南鄉,122,17116,7.13
臺東縣大武鄉,41,5757,7.12
臺東縣太麻里鄉,62,10936,5.67
臺東縣延平鄉,39,3519,11.08
臺東縣成功鎮,65,13596,4.78
臺東縣東河鄉,33,8287,3.98
臺東縣池上鄉,84,8108,10.36
臺東縣海端鄉,45,4081,11.03
臺東縣綠島鄉,30,4035,7.43
臺東縣臺東市,617,104985,5.88
臺東縣蘭嶼鄉,50,5137,9.73
臺東縣達仁鄉,32,3507,9.12
臺東縣金峰鄉,45,3706,12.14
臺東縣長濱鄉,23,6995,3.29
臺東縣關山鎮,41,8511,4.82
臺東縣鹿野鄉,35,7664,4.57
花蓮縣光復鄉,87,12481,6.97
花蓮縣卓溪鄉,83,6043,13.73
花蓮縣吉安鄉,523,83641,6.25
花蓮縣壽豐鄉,96,17687,5.43
花蓮縣富里鄉,48,10041,4.78
花蓮縣新城鄉,146,20141,7.25
花蓮縣玉里鎮,136,23504,5.79
花蓮縣瑞穗鄉,73,11357,6.43
花蓮縣秀林鄉,210,15931,13.18
花蓮縣花蓮市,603,102941,5.86
花蓮縣萬榮鄉,68,6261,10.86
花蓮縣豐濱鄉,15,4406,3.4
花蓮縣鳳林鎮,87,10837,8.03
苗栗縣三灣鄉,26,6462,4.02
苗栗縣三義鄉,96,15826,6.07
苗栗縣公館鄉,155,32601,4.75
苗栗縣卓蘭鎮,67,16338,4.1
苗栗縣南庄鄉,62,9709,6.39
苗栗縣大湖鄉,66,14041,4.7
苗栗縣後龍鎮,188,35455,5.3
苗栗縣泰安鄉,40,5811,6.88
苗栗縣獅潭鄉,14,4171,3.36
苗栗縣竹南鎮,447,86879,5.15
苗栗縣苑裡鎮,171,44772,3.82
苗栗縣苗栗市,505,87823,5.75
苗栗縣西湖鄉,24,6818,3.52
苗栗縣通霄鎮,131,33286,3.94
苗栗縣造橋鄉,38,12301,3.09
苗栗縣銅鑼鄉,70,17472,4.01
苗栗縣頭份市,652,103978,6.27
苗栗縣頭屋鄉,43,10392,4.14
連江縣北竿鄉,24,2606,9.21
連江縣南竿鄉,75,7583,9.89
連江縣東引鄉,10,1339,7.47
連江縣莒光鄉,8,1521,5.26
金門縣烈嶼鄉,68,12702,5.35
金門縣烏坵鄉,5,664,7.53
金門縣金城鎮,330,43071,7.66
金門縣金寧鄉,237,32267,7.34
金門縣金沙鎮,146,20715,7.05
金門縣金湖鎮,249,30169,8.25
雲林縣二崙鄉,132,26232,5.03
雲林縣元長鄉,113,24914,4.54
雲林縣北港鎮,221,39246,5.63
雲林縣口湖鄉,153,26637,5.74
雲林縣古坑鄉,157,31063,5.05
雲林縣四湖鄉,94,22592,4.16
雲林縣土庫鎮,171,28498,6
雲林縣大埤鄉,113,18686,6.05
雲林縣崙背鄉,120,23896,5.02
雲林縣斗六市,622,108701,5.72
雲林縣斗南鎮,242,44208,5.47
雲林縣東勢鄉,81,14265,5.68
雲林縣林內鄉,88,17823,4.94
雲林縣水林鄉,104,24460,4.25
雲林縣臺西鄉,116,23152,5.01
雲林縣莿桐鄉,192,28431,6.75
雲林縣虎尾鎮,422,70930,5.95
雲林縣褒忠鄉,64,12580,5.09
雲林縣西螺鎮,281,45581,6.16
雲林縣麥寮鄉,523,47378,11.04
高雄市三民區,2161,338218,6.39
高雄市仁武區,849,90643,9.37
高雄市內門區,84,14083,5.96
高雄市六龜區,76,12479,6.09
高雄市前金區,150,26833,5.59
高雄市前鎮區,1104,186919,5.91
高雄市大寮區,822,112347,7.32
高雄市大樹區,281,41948,6.7
高雄市大社區,257,34345,7.48
高雄市小港區,1178,157642,7.47
高雄市岡山區,662,97075,6.82
高雄市左營區,1195,197890,6.04
高雄市彌陀區,144,18935,7.6
高雄市新興區,232,50806,4.57
高雄市旗山區,216,36049,5.99
高雄市旗津區,209,27959,7.48
高雄市杉林區,85,11591,7.33
高雄市林園區,487,69589,7
高雄市桃源區,56,4215,13.29
高雄市梓官區,242,35644,6.79
高雄市楠梓區,1575,188910,8.34
高雄市橋頭區,285,38582,7.39
高雄市永安區,113,13739,8.22
高雄市湖內區,251,29784,8.43
高雄市燕巢區,196,29617,6.62
高雄市田寮區,39,6971,5.59
高雄市甲仙區,38,5916,6.42
高雄市美濃區,179,38931,4.6
高雄市苓雅區,940,168307,5.59
高雄市茂林區,29,1927,15.05
高雄市茄萣區,229,30044,7.62
高雄市路竹區,370,52014,7.11
高雄市那瑪夏區,45,3139,14.34
高雄市阿蓮區,218,28418,7.67
高雄市鳥松區,319,44978,7.09
高雄市鳳山區,2555,360097,7.1
高雄市鹽埕區,113,23800,4.75
高雄市鼓山區,945,141462,6.68
