year,male,female,total
2019,7877,6651,14528
2020,7823,6618,14441
2021,7768,6584,14352
2022,7709,6548,14257
2023,7648,6512,14160
2024,7586,6472,14058
2025,7527,6435,13962
2026,7464,6400,13864
2027,7400,6362,13762
2028,7338,6322,13660
2029,7270,6280,13550
2030,7195,6239,13434
2031,7115,6196,13311
2032,7033,6150,13183
2033,6951,6105,13056
2034,6868,6055,12923
2035,6796,6014,12810
2036,6715,5969,12684
2037,6629,5921,12550
2038,6539,5873,12412
2039,6447,5824,12271
2040,6353,5771,12124
2041,6252,5714,11966
2042,6149,5653,11802
2043,6043,5592,11635
2044,5936,5530,11466
2045,5836,5472,11308
2046,5732,5415,11147
2047,5627,5356,10983
2048,5519,5290,10809
2049,5409,5223,10632
2050,5301,5160,10461
2051,5193,5092,10285
2052,5088,5027,10115
2053,4982,4964,9946
2054,4880,4898,9778
2055,4783,4832,9615
2056,4692,4771,9463
2057,4603,4710,9313
2058,4515,4648,9163
2059,4428,4580,9008
2060,4344,4509,8853
2061,4263,4441,8704
2062,4184,4369,8553
2063,4106,4301,8407
2064,4032,4234,8266
2065,3960,4170,8130
