year,male,female,total
2019,8589,7422,16011
2020,8594,7442,16036
2021,8597,7462,16059
2022,8599,7479,16078
2023,8597,7495,16092
2024,8595,7508,16103
2025,8597,7525,16122
2026,8597,7544,16141
2027,8590,7563,16153
2028,8576,7579,16155
2029,8559,7595,16154
2030,8540,7604,16144
2031,8517,7612,16129
2032,8484,7613,16097
2033,8447,7609,16056
2034,8405,7603,16008
2035,8369,7601,15970
2036,8323,7593,15916
2037,8277,7581,15858
2038,8224,7566,15790
2039,8168,7552,15720
2040,8106,7534,15640
2041,8042,7508,15550
2042,7970,7479,15449
2043,7901,7450,15351
2044,7830,7416,15246
2045,7763,7387,15150
2046,7689,7351,15040
2047,7616,7310,14926
2048,7541,7272,14813
2049,7464,7229,14693
2050,7384,7182,14566
2051,7301,7130,14431
2052,7217,7075,14292
2053,7136,7022,14158
2054,7051,6967,14018
2055,6972,6914,13886
2056,6892,6860,13752
2057,6811,6801,13612
2058,6730,6738,13468
2059,6649,6675,13324
2060,6566,6611,13177
2061,6484,6542,13026
2062,6397,6473,12870
2063,6313,6403,12716
2064,6229,6336,12565
2065,6152,6274,12426
