year,male,female,total
2019,39768,40174,79942
2020,39648,40154,79802
2021,39525,40126,79651
2022,39388,40088,79476
2023,39244,40039,79283
2024,39095,39984,79079
2025,38958,39940,78898
2026,38813,39886,78699
2027,38661,39821,78482
2028,38497,39740,78237
2029,38316,39645,77961
2030,38119,39532,77651
2031,37900,39401,77301
2032,37666,39248,76914
2033,37417,39075,76492
2034,37150,38881,76031
2035,36906,38712,75618
2036,36637,38515,75152
2037,36350,38297,74647
2038,36036,38059,74095
2039,35709,37793,73502
2040,35361,37502,72863
2041,34998,37195,72193
2042,34613,36867,71480
2043,34220,36518,70738
2044,33810,36146,69956
2045,33430,35803,69233
2046,33039,35441,68480
2047,32633,35060,67693
2048,32218,34661,66879
2049,31795,34246,66041
2050,31369,33818,65187
2051,30940,33376,64316
2052,30512,32924,63436
2053,30085,32476,62561
2054,29661,32022,61683
2055,29266,31608,60874
2056,28873,31183,60056
2057,28484,30760,59244
2058,28090,30334,58424
2059,27700,29903,57603
2060,27315,29473,56788
2061,26930,29049,55979
2062,26546,28624,55170
2063,26162,28194,54356
2064,25778,27769,53547
2065,25406,27374,52780
