year,male,female,total
2019,27612,26379,53991
2020,27506,26335,53841
2021,27390,26291,53681
2022,27268,26239,53507
2023,27136,26171,53307
2024,26998,26100,53098
2025,26867,26037,52904
2026,26730,25962,52692
2027,26582,25885,52467
2028,26428,25796,52224
2029,26261,25699,51960
2030,26091,25586,51677
2031,25899,25467,51366
2032,25702,25342,51044
2033,25501,25204,50705
2034,25284,25056,50340
2035,25088,24924,50012
2036,24871,24783,49654
2037,24641,24625,49266
2038,24405,24456,48861
2039,24153,24271,48424
2040,23891,24077,47968
2041,23618,23868,47486
2042,23338,23648,46986
2043,23051,23417,46468
2044,22755,23176,45931
2045,22480,22957,45437
2046,22198,22723,44921
2047,21914,22481,44395
2048,21618,22227,43845
2049,21319,21967,43286
2050,21020,21698,42718
2051,20719,21420,42139
2052,20418,21147,41565
2053,20122,20874,40996
2054,19822,20601,40423
2055,19543,20343,39886
2056,19262,20088,39350
2057,18984,19827,38811
2058,18707,19568,38275
2059,18425,19304,37729
2060,18139,19041,37180
2061,17860,18774,36634
2062,17579,18506,36085
2063,17300,18239,35539
2064,17021,17968,34989
2065,16756,17718,34474
