year,male,female,total
2019,8225,7394,15619
2020,8174,7364,15538
2021,8123,7335,15458
2022,8070,7309,15379
2023,8011,7280,15291
2024,7953,7245,15198
2025,7899,7216,15115
2026,7843,7184,15027
2027,7785,7151,14936
2028,7725,7116,14841
2029,7661,7079,14740
2030,7593,7041,14634
2031,7525,7001,14526
2032,7453,6957,14410
2033,7377,6913,14290
2034,7299,6866,14165
2035,7227,6825,14052
2036,7148,6776,13924
2037,7066,6725,13791
2038,6978,6669,13647
2039,6888,6613,13501
2040,6794,6552,13346
2041,6696,6490,13186
2042,6594,6424,13018
2043,6492,6354,12846
2044,6387,6281,12668
2045,6289,6217,12506
2046,6189,6149,12338
2047,6085,6080,12165
2048,5982,6003,11985
2049,5876,5925,11801
2050,5773,5850,11623
2051,5667,5770,11437
2052,5562,5692,11254
2053,5462,5609,11071
2054,5361,5532,10893
2055,5266,5459,10725
2056,5176,5385,10561
2057,5088,5308,10396
2058,5001,5231,10232
2059,4918,5152,10070
2060,4836,5075,9911
2061,4753,4997,9750
2062,4666,4916,9582
2063,4586,4835,9421
2064,4505,4752,9257
2065,4430,4676,9106
