year,male,female,total
2019,23046,21312,44358
2020,22985,21298,44283
2021,22919,21278,44197
2022,22846,21254,44100
2023,22770,21224,43994
2024,22676,21186,43862
2025,22585,21150,43735
2026,22490,21109,43599
2027,22386,21060,43446
2028,22273,20999,43272
2029,22146,20926,43072
2030,22012,20846,42858
2031,21864,20751,42615
2032,21706,20651,42357
2033,21534,20535,42069
2034,21349,20412,41761
2035,21180,20301,41481
2036,20995,20179,41174
2037,20792,20043,40835
2038,20574,19889,40463
2039,20349,19728,40077
2040,20114,19553,39667
2041,19871,19370,39241
2042,19618,19179,38797
2043,19362,18975,38337
2044,19094,18763,37857
2045,18843,18572,37415
2046,18586,18371,36957
2047,18324,18162,36486
2048,18059,17939,35998
2049,17793,17708,35501
2050,17528,17480,35008
2051,17258,17241,34499
2052,16990,17001,33991
2053,16721,16763,33484
2054,16457,16525,32982
2055,16210,16305,32515
2056,15964,16087,32051
2057,15720,15868,31588
2058,15473,15642,31115
2059,15223,15416,30639
2060,14975,15188,30163
2061,14723,14963,29686
2062,14471,14735,29206
2063,14224,14506,28730
2064,13972,14286,28258
2065,13730,14075,27805
