year,male,female,total
2019,11949,10664,22613
2020,11846,10571,22417
2021,11736,10482,22218
2022,11628,10395,22023
2023,11522,10305,21827
2024,11412,10211,21623
2025,11310,10129,21439
2026,11201,10043,21244
2027,11096,9958,21054
2028,10981,9868,20849
2029,10866,9776,20642
2030,10749,9685,20434
2031,10622,9590,20212
2032,10492,9492,19984
2033,10357,9391,19748
2034,10214,9290,19504
2035,10077,9203,19280
2036,9938,9110,19048
2037,9794,9012,18806
2038,9644,8911,18555
2039,9489,8805,18294
2040,9330,8698,18028
2041,9167,8591,17758
2042,8997,8484,17481
2043,8828,8374,17202
2044,8657,8265,16922
2045,8497,8167,16664
2046,8342,8069,16411
2047,8183,7973,16156
2048,8021,7872,15893
2049,7859,7767,15626
2050,7699,7666,15365
2051,7536,7560,15096
2052,7375,7457,14832
2053,7220,7352,14572
2054,7067,7248,14315
2055,6927,7150,14077
2056,6786,7050,13836
2057,6646,6947,13593
2058,6510,6845,13355
2059,6381,6743,13124
2060,6251,6647,12898
2061,6130,6548,12678
2062,6006,6446,12452
2063,5890,6347,12237
2064,5776,6244,12020
2065,5671,6147,11818
