year,male,female,total
2019,2354,2236,4590
2020,2352,2245,4597
2021,2350,2255,4605
2022,2345,2263,4608
2023,2337,2267,4604
2024,2330,2268,4598
2025,2328,2269,4597
2026,2321,2265,4586
2027,2314,2257,4571
2028,2305,2249,4554
2029,2296,2240,4536
2030,2286,2231,4517
2031,2272,2222,4494
2032,2257,2212,4469
2033,2238,2202,4440
2034,2219,2192,4411
2035,2205,2188,4393
2036,2186,2178,4364
2037,2165,2166,4331
2038,2142,2155,4297
2039,2121,2141,4262
2040,2098,2127,4225
2041,2076,2111,4187
2042,2052,2094,4146
2043,2027,2075,4102
2044,2000,2055,4055
2045,1976,2040,4016
2046,1948,2023,3971
2047,1921,2004,3925
2048,1893,1984,3877
2049,1868,1961,3829
2050,1840,1937,3777
2051,1814,1912,3726
2052,1785,1885,3670
2053,1756,1859,3615
2054,1728,1832,3560
2055,1702,1810,3512
2056,1676,1784,3460
2057,1650,1759,3409
2058,1623,1732,3355
2059,1599,1705,3304
2060,1575,1677,3252
2061,1552,1650,3202
2062,1527,1625,3152
2063,1498,1599,3097
2064,1470,1573,3043
2065,1444,1550,2994
