year,male,female,total
2019,21142,20722,41864
2020,21065,20671,41736
2021,20983,20618,41601
2022,20898,20562,41460
2023,20812,20503,41315
2024,20718,20436,41154
2025,20635,20382,41017
2026,20546,20323,40869
2027,20451,20263,40714
2028,20358,20201,40559
2029,20259,20134,40393
2030,20151,20059,40210
2031,20036,19985,40021
2032,19914,19905,39819
2033,19788,19823,39611
2034,19654,19731,39385
2035,19539,19660,39199
2036,19414,19581,38995
2037,19280,19491,38771
2038,19136,19394,38530
2039,18978,19289,38267
2040,18814,19175,37989
2041,18636,19051,37687
2042,18455,18920,37375
2043,18264,18784,37048
2044,18067,18637,36704
2045,17884,18502,36386
2046,17694,18358,36052
2047,17489,18208,35697
2048,17281,18043,35324
2049,17066,17874,34940
2050,16852,17697,34549
2051,16630,17511,34141
2052,16410,17321,33731
2053,16189,17125,33314
2054,15966,16929,32895
2055,15753,16749,32502
2056,15545,16564,32109
2057,15341,16376,31717
2058,15134,16186,31320
2059,14930,15994,30924
2060,14726,15798,30524
2061,14522,15599,30121
2062,14320,15399,29719
2063,14123,15193,29316
2064,13925,14987,28912
2065,13741,14796,28537
