year,male,female,total
2019,12831,11403,24234
2020,12740,11338,24078
2021,12644,11265,23909
2022,12541,11187,23728
2023,12435,11105,23540
2024,12327,11022,23349
2025,12225,10946,23171
2026,12122,10867,22989
2027,12015,10786,22801
2028,11904,10708,22612
2029,11791,10620,22411
2030,11678,10534,22212
2031,11558,10442,22000
2032,11432,10349,21781
2033,11305,10253,21558
2034,11175,10152,21327
2035,11057,10067,21124
2036,10931,9979,20910
2037,10799,9887,20686
2038,10665,9791,20456
2039,10520,9692,20212
2040,10373,9592,19965
2041,10217,9497,19714
2042,10059,9395,19454
2043,9901,9289,19190
2044,9732,9179,18911
2045,9573,9082,18655
2046,9412,8981,18393
2047,9249,8876,18125
2048,9084,8771,17855
2049,8915,8657,17572
2050,8748,8542,17290
2051,8577,8426,17003
2052,8408,8310,16718
2053,8244,8197,16441
2054,8080,8084,16164
2055,7927,7977,15904
2056,7772,7870,15642
2057,7620,7765,15385
2058,7467,7654,15121
2059,7319,7539,14858
2060,7171,7426,14597
2061,7027,7313,14340
2062,6880,7193,14073
2063,6737,7071,13808
2064,6598,6950,13548
2065,6465,6832,13297
