year,male,female,total
2019,10080,8914,18994
2020,10010,8866,18876
2021,9941,8818,18759
2022,9868,8766,18634
2023,9795,8715,18510
2024,9720,8664,18384
2025,9648,8619,18267
2026,9575,8571,18146
2027,9497,8523,18020
2028,9416,8471,17887
2029,9331,8415,17746
2030,9243,8354,17597
2031,9146,8290,17436
2032,9047,8226,17273
2033,8947,8157,17104
2034,8840,8090,16930
2035,8744,8030,16774
2036,8642,7966,16608
2037,8536,7898,16434
2038,8426,7831,16257
2039,8311,7758,16069
2040,8193,7680,15873
2041,8071,7600,15671
2042,7946,7522,15468
2043,7822,7437,15259
2044,7694,7349,15043
2045,7571,7270,14841
2046,7452,7189,14641
2047,7335,7105,14440
2048,7213,7018,14231
2049,7089,6928,14017
2050,6967,6840,13807
2051,6843,6751,13594
2052,6724,6662,13386
2053,6608,6573,13181
2054,6490,6482,12972
2055,6383,6397,12780
2056,6274,6311,12585
2057,6167,6228,12395
2058,6063,6142,12205
2059,5959,6050,12009
2060,5860,5962,11822
2061,5761,5873,11634
2062,5663,5784,11447
2063,5569,5696,11265
2064,5473,5607,11080
2065,5385,5525,10910
