year,male,female,total
2019,9326,8597,17923
2020,9252,8529,17781
2021,9174,8461,17635
2022,9092,8392,17484
2023,9005,8319,17324
2024,8915,8242,17157
2025,8832,8176,17008
2026,8747,8108,16855
2027,8655,8037,16692
2028,8560,7962,16522
2029,8465,7884,16349
2030,8372,7807,16179
2031,8270,7728,15998
2032,8163,7646,15809
2033,8055,7563,15618
2034,7945,7479,15424
2035,7837,7403,15240
2036,7726,7328,15054
2037,7614,7251,14865
2038,7495,7174,14669
2039,7370,7086,14456
2040,7245,7000,14245
2041,7119,6911,14030
2042,6986,6824,13810
2043,6850,6731,13581
2044,6714,6637,13351
2045,6586,6554,13140
2046,6452,6469,12921
2047,6319,6375,12694
2048,6186,6279,12465
2049,6055,6180,12235
2050,5925,6085,12010
2051,5795,5988,11783
2052,5672,5886,11558
2053,5550,5790,11340
2054,5428,5698,11126
2055,5319,5610,10929
2056,5212,5518,10730
2057,5106,5431,10537
2058,5002,5342,10344
2059,4902,5248,10150
2060,4805,5155,9960
2061,4710,5063,9773
2062,4614,4967,9581
2063,4523,4876,9399
2064,4433,4783,9216
2065,4347,4696,9043
