year,male,female,total
2019,40692,41527,82219
2020,40643,41565,82208
2021,40585,41605,82190
2022,40513,41628,82141
2023,40431,41642,82073
2024,40337,41642,81979
2025,40259,41648,81907
2026,40163,41645,81808
2027,40055,41627,81682
2028,39929,41584,81513
2029,39782,41527,81309
2030,39615,41440,81055
2031,39422,41329,80751
2032,39210,41196,80406
2033,38975,41040,80015
2034,38716,40857,79573
2035,38476,40694,79170
2036,38211,40505,78716
2037,37924,40286,78210
2038,37612,40034,77646
2039,37280,39761,77041
2040,36923,39459,76382
2041,36545,39131,75676
2042,36153,38784,74937
2043,35747,38410,74157
2044,35323,38014,73337
2045,34932,37649,72581
2046,34530,37263,71793
2047,34112,36851,70963
2048,33681,36420,70101
2049,33238,35965,69203
2050,32790,35494,68284
2051,32336,35008,67344
2052,31877,34516,66393
2053,31422,34016,65438
2054,30969,33509,64478
2055,30545,33041,63586
2056,30118,32568,62686
2057,29694,32095,61789
2058,29270,31615,60885
2059,28844,31135,59979
2060,28418,30644,59062
2061,27989,30161,58150
2062,27563,29668,57231
2063,27140,29181,56321
2064,26714,28700,55414
2065,26310,28241,54551
