year,male,female,total
2019,19264,19309,38573
2020,19247,19333,38580
2021,19226,19362,38588
2022,19207,19384,38591
2023,19180,19404,38584
2024,19148,19419,38567
2025,19122,19439,38561
2026,19087,19451,38538
2027,19043,19456,38499
2028,18987,19448,38435
2029,18926,19428,38354
2030,18855,19399,38254
2031,18772,19359,38131
2032,18674,19308,37982
2033,18563,19242,37805
2034,18445,19165,37610
2035,18331,19095,37426
2036,18204,19010,37214
2037,18071,18919,36990
2038,17918,18810,36728
2039,17753,18692,36445
2040,17583,18558,36141
2041,17404,18414,35818
2042,17212,18262,35474
2043,17012,18095,35107
2044,16804,17919,34723
2045,16611,17757,34368
2046,16410,17582,33992
2047,16202,17396,33598
2048,15990,17202,33192
2049,15775,16997,32772
2050,15556,16781,32337
2051,15337,16558,31895
2052,15118,16336,31454
2053,14897,16109,31006
2054,14681,15877,30558
2055,14477,15662,30139
2056,14275,15439,29714
2057,14074,15216,29290
2058,13867,14992,28859
2059,13660,14768,28428
2060,13458,14539,27997
2061,13251,14309,27560
2062,13047,14080,27127
2063,12840,13854,26694
2064,12636,13629,26265
2065,12442,13415,25857
