year,male,female,total
2019,3090,2878,5968
2020,3107,2894,6001
2021,3120,2910,6030
2022,3130,2922,6052
2023,3138,2935,6073
2024,3143,2950,6093
2025,3150,2966,6116
2026,3155,2978,6133
2027,3157,2993,6150
2028,3156,3008,6164
2029,3156,3018,6174
2030,3155,3024,6179
2031,3154,3026,6180
2032,3150,3028,6178
2033,3145,3028,6173
2034,3142,3028,6170
2035,3142,3031,6173
2036,3138,3031,6169
2037,3133,3029,6162
2038,3129,3027,6156
2039,3124,3025,6149
2040,3118,3022,6140
2041,3109,3019,6128
2042,3097,3016,6113
2043,3081,3012,6093
2044,3065,3003,6068
2045,3052,2997,6049
2046,3035,2990,6025
2047,3019,2980,5999
2048,3001,2971,5972
2049,2982,2959,5941
2050,2962,2945,5907
2051,2942,2931,5873
2052,2920,2916,5836
2053,2899,2901,5800
2054,2879,2882,5761
2055,2861,2868,5729
2056,2839,2848,5687
2057,2816,2828,5644
2058,2791,2802,5593
2059,2763,2776,5539
2060,2734,2750,5484
2061,2700,2723,5423
2062,2665,2695,5360
2063,2630,2668,5298
2064,2594,2642,5236
2065,2560,2620,5180
