year,male,female,total
2019,12841,11578,24419
2020,12811,11574,24385
2021,12775,11569,24344
2022,12732,11563,24295
2023,12689,11556,24245
2024,12638,11541,24179
2025,12592,11532,24124
2026,12546,11521,24067
2027,12497,11504,24001
2028,12435,11483,23918
2029,12368,11454,23822
2030,12295,11420,23715
2031,12217,11380,23597
2032,12130,11331,23461
2033,12034,11281,23315
2034,11934,11222,23156
2035,11836,11170,23006
2036,11734,11110,22844
2037,11621,11047,22668
2038,11502,10976,22478
2039,11375,10894,22269
2040,11237,10807,22044
2041,11094,10716,21810
2042,10948,10621,21569
2043,10799,10524,21323
2044,10652,10419,21071
2045,10510,10321,20831
2046,10368,10225,20593
2047,10223,10126,20349
2048,10077,10023,20100
2049,9930,9917,19847
2050,9783,9806,19589
2051,9636,9689,19325
2052,9487,9567,19054
2053,9338,9442,18780
2054,9190,9320,18510
2055,9049,9203,18252
2056,8908,9082,17990
2057,8770,8967,17737
2058,8631,8844,17475
2059,8494,8721,17215
2060,8352,8599,16951
2061,8212,8476,16688
2062,8074,8349,16423
2063,7938,8223,16161
2064,7805,8099,15904
2065,7677,7982,15659
