year,male,female,total
2019,3299,2838,6137
2020,3304,2853,6157
2021,3307,2868,6175
2022,3309,2885,6194
2023,3311,2898,6209
2024,3311,2911,6222
2025,3314,2927,6241
2026,3314,2940,6254
2027,3312,2954,6266
2028,3309,2964,6273
2029,3306,2975,6281
2030,3304,2982,6286
2031,3300,2983,6283
2032,3296,2983,6279
2033,3289,2983,6272
2034,3281,2981,6262
2035,3278,2985,6263
2036,3270,2982,6252
2037,3260,2979,6239
2038,3247,2973,6220
2039,3233,2969,6202
2040,3217,2964,6181
2041,3200,2959,6159
2042,3179,2956,6135
2043,3159,2951,6110
2044,3137,2943,6080
2045,3121,2938,6059
2046,3099,2931,6030
2047,3077,2920,5997
2048,3054,2909,5963
2049,3030,2893,5923
2050,3008,2877,5885
2051,2984,2859,5843
2052,2959,2840,5799
2053,2931,2819,5750
2054,2898,2795,5693
2055,2868,2769,5637
2056,2834,2739,5573
2057,2796,2711,5507
2058,2758,2686,5444
2059,2719,2658,5377
2060,2683,2631,5314
2061,2645,2605,5250
2062,2608,2579,5187
2063,2570,2553,5123
2064,2533,2524,5057
2065,2499,2501,5000
