year,male,female,total
2019,34101,37926,72027
2020,34056,37927,71983
2021,34005,37924,71929
2022,33945,37903,71848
2023,33871,37882,71753
2024,33791,37846,71637
2025,33724,37822,71546
2026,33650,37787,71437
2027,33571,37749,71320
2028,33490,37699,71189
2029,33394,37633,71027
2030,33292,37563,70855
2031,33184,37480,70664
2032,33075,37388,70463
2033,32949,37287,70236
2034,32817,37167,69984
2035,32710,37080,69790
2036,32596,36976,69572
2037,32473,36866,69339
2038,32337,36735,69072
2039,32189,36587,68776
2040,32027,36422,68449
2041,31848,36238,68086
2042,31662,36036,67698
2043,31460,35817,67277
2044,31245,35574,66819
2045,31041,35352,66393
2046,30826,35107,65933
2047,30589,34839,65428
2048,30338,34547,64885
2049,30072,34234,64306
2050,29800,33907,63707
2051,29519,33560,63079
2052,29230,33195,62425
2053,28933,32824,61757
2054,28634,32451,61085
2055,28356,32098,60454
2056,28082,31735,59817
2057,27796,31371,59167
2058,27515,31001,58516
2059,27234,30621,57855
2060,26951,30242,57193
2061,26664,29869,56533
2062,26379,29486,55865
2063,26092,29101,55193
2064,25805,28717,54522
2065,25535,28358,53893
