year,male,female,total
2019,19998,19218,39216
2020,19920,19192,39112
2021,19840,19159,38999
2022,19755,19116,38871
2023,19659,19063,38722
2024,19554,19001,38555
2025,19460,18951,38411
2026,19352,18892,38244
2027,19243,18826,38069
2028,19128,18751,37879
2029,19004,18672,37676
2030,18870,18581,37451
2031,18730,18483,37213
2032,18583,18376,36959
2033,18425,18259,36684
2034,18259,18135,36394
2035,18106,18025,36131
2036,17947,17905,35852
2037,17775,17776,35551
2038,17599,17639,35238
2039,17413,17496,34909
2040,17216,17343,34559
2041,17015,17185,34200
2042,16809,17021,33830
2043,16597,16846,33443
2044,16377,16669,33046
2045,16170,16509,32679
2046,15959,16338,32297
2047,15745,16163,31908
2048,15524,15973,31497
2049,15299,15777,31076
2050,15078,15578,30656
2051,14855,15373,30228
2052,14630,15164,29794
2053,14403,14959,29362
2054,14177,14749,28926
2055,13966,14555,28521
2056,13755,14359,28114
2057,13547,14161,27708
2058,13335,13965,27300
2059,13121,13762,26883
2060,12909,13556,26465
2061,12698,13353,26051
2062,12486,13151,25637
2063,12273,12949,25222
2064,12066,12744,24810
2065,11867,12555,24422
