year,male,female,total
2019,14930,14066,28996
2020,14882,14045,28927
2021,14835,14026,28861
2022,14782,14002,28784
2023,14724,13977,28701
2024,14669,13948,28617
2025,14616,13926,28542
2026,14561,13896,28457
2027,14502,13864,28366
2028,14436,13824,28260
2029,14359,13774,28133
2030,14275,13720,27995
2031,14184,13665,27849
2032,14089,13602,27691
2033,13986,13533,27519
2034,13879,13458,27337
2035,13775,13393,27168
2036,13663,13318,26981
2037,13545,13238,26783
2038,13418,13148,26566
2039,13283,13056,26339
2040,13146,12958,26104
2041,13001,12857,25858
2042,12850,12753,25603
2043,12697,12641,25338
2044,12538,12525,25063
2045,12389,12420,24809
2046,12239,12308,24547
2047,12082,12190,24272
2048,11923,12067,23990
2049,11760,11940,23700
2050,11593,11807,23400
2051,11425,11672,23097
2052,11255,11533,22788
2053,11086,11388,22474
2054,10918,11247,22165
2055,10762,11118,21880
2056,10606,10986,21592
2057,10449,10853,21302
2058,10290,10715,21005
2059,10132,10577,20709
2060,9972,10436,20408
2061,9815,10287,20102
2062,9656,10138,19794
2063,9499,9991,19490
2064,9337,9839,19176
2065,9187,9701,18888
