year,male,female,total
2019,3745,3696,7441
2020,3755,3711,7466
2021,3763,3725,7488
2022,3767,3738,7505
2023,3768,3750,7518
2024,3768,3763,7531
2025,3772,3776,7548
2026,3772,3785,7557
2027,3771,3791,7562
2028,3770,3793,7563
2029,3765,3792,7557
2030,3761,3790,7551
2031,3754,3788,7542
2032,3748,3787,7535
2033,3738,3782,7520
2034,3725,3774,7499
2035,3716,3772,7488
2036,3700,3763,7463
2037,3680,3755,7435
2038,3658,3745,7403
2039,3635,3732,7367
2040,3611,3718,7329
2041,3583,3701,7284
2042,3556,3684,7240
2043,3528,3664,7192
2044,3499,3644,7143
2045,3471,3627,7098
2046,3444,3604,7048
2047,3415,3579,6994
2048,3385,3550,6935
2049,3351,3521,6872
2050,3317,3492,6809
2051,3282,3458,6740
2052,3245,3424,6669
2053,3207,3390,6597
2054,3170,3353,6523
2055,3135,3319,6454
2056,3099,3284,6383
2057,3061,3248,6309
2058,3023,3210,6233
2059,2983,3169,6152
2060,2941,3124,6065
2061,2899,3078,5977
2062,2857,3029,5886
2063,2815,2978,5793
2064,2773,2932,5705
2065,2733,2888,5621
