year,male,female,total
2019,27685,25958,53643
2020,27529,25939,53468
2021,27396,25916,53312
2022,27262,25890,53152
2023,27123,25853,52976
2024,26983,25810,52793
2025,26853,25772,52625
2026,26719,25730,52449
2027,26577,25678,52255
2028,26431,25616,52047
2029,26268,25536,51804
2030,26097,25447,51544
2031,25913,25344,51257
2032,25713,25225,50938
2033,25503,25090,50593
2034,25277,24941,50218
2035,25064,24807,49871
2036,24841,24657,49498
2037,24598,24486,49084
2038,24345,24302,48647
2039,24077,24105,48182
2040,23794,23889,47683
2041,23495,23651,47146
2042,23191,23406,46597
2043,22876,23148,46024
2044,22557,22876,45433
2045,22255,22628,44883
2046,21949,22364,44313
2047,21637,22095,43732
2048,21312,21814,43126
2049,20990,21524,42514
2050,20668,21228,41896
2051,20343,20928,41271
2052,20017,20628,40645
2053,19694,20325,40019
2054,19374,20025,39399
2055,19075,19744,38819
2056,18776,19459,38235
2057,18480,19174,37654
2058,18182,18889,37071
2059,17891,18601,36492
2060,17600,18314,35914
2061,17313,18030,35343
2062,17024,17743,34767
2063,16737,17462,34199
2064,16447,17183,33630
2065,16176,16920,33096
