year,male,female,total
2019,7762,7621,15383
2020,7753,7624,15377
2021,7739,7626,15365
2022,7725,7629,15354
2023,7707,7630,15337
2024,7690,7633,15323
2025,7675,7639,15314
2026,7654,7643,15297
2027,7629,7644,15273
2028,7603,7640,15243
2029,7577,7635,15212
2030,7547,7625,15172
2031,7514,7615,15129
2032,7484,7607,15091
2033,7451,7597,15048
2034,7417,7584,15001
2035,7389,7577,14966
2036,7360,7570,14930
2037,7333,7559,14892
2038,7302,7546,14848
2039,7268,7530,14798
2040,7226,7509,14735
2041,7180,7486,14666
2042,7130,7455,14585
2043,7076,7418,14494
2044,7016,7378,14394
2045,6960,7339,14299
2046,6897,7296,14193
2047,6829,7245,14074
2048,6758,7188,13946
2049,6686,7128,13814
2050,6609,7063,13672
2051,6528,6996,13524
2052,6449,6927,13376
2053,6371,6856,13227
2054,6289,6787,13076
2055,6217,6723,12940
2056,6144,6655,12799
2057,6073,6591,12664
2058,6002,6529,12531
2059,5933,6460,12393
2060,5867,6392,12259
2061,5801,6324,12125
2062,5736,6259,11995
2063,5673,6194,11867
2064,5613,6128,11741
2065,5557,6069,11626
