year,male,female,total
2019,15704,14969,30673
2020,15680,14981,30661
2021,15650,14994,30644
2022,15621,14999,30620
2023,15585,15001,30586
2024,15544,14999,30543
2025,15512,15005,30517
2026,15473,15002,30475
2027,15427,14996,30423
2028,15375,14984,30359
2029,15317,14971,30288
2030,15254,14946,30200
2031,15189,14919,30108
2032,15114,14885,29999
2033,15030,14840,29870
2034,14938,14794,29732
2035,14853,14753,29606
2036,14763,14706,29469
2037,14669,14653,29322
2038,14564,14595,29159
2039,14450,14526,28976
2040,14325,14451,28776
2041,14200,14370,28570
2042,14064,14278,28342
2043,13923,14185,28108
2044,13781,14083,27864
2045,13645,13990,27635
2046,13500,13894,27394
2047,13348,13787,27135
2048,13197,13677,26874
2049,13044,13557,26601
2050,12884,13433,26317
2051,12721,13302,26023
2052,12556,13170,25726
2053,12385,13027,25412
2054,12215,12881,25096
2055,12058,12750,24808
2056,11899,12615,24514
2057,11738,12476,24214
2058,11578,12333,23911
2059,11412,12191,23603
2060,11247,12044,23291
2061,11083,11894,22977
2062,10921,11743,22664
2063,10755,11591,22346
2064,10591,11439,22030
2065,10436,11297,21733
