year,male,female,total
2019,2531,2416,4947
2020,2544,2431,4975
2021,2557,2444,5001
2022,2567,2453,5020
2023,2571,2465,5036
2024,2579,2476,5055
2025,2586,2488,5074
2026,2591,2499,5090
2027,2594,2508,5102
2028,2595,2516,5111
2029,2594,2521,5115
2030,2592,2521,5113
2031,2589,2517,5106
2032,2583,2511,5094
2033,2577,2505,5082
2034,2570,2499,5069
2035,2566,2498,5064
2036,2558,2491,5049
2037,2549,2484,5033
2038,2539,2476,5015
2039,2530,2469,4999
2040,2518,2462,4980
2041,2505,2454,4959
2042,2490,2447,4937
2043,2475,2439,4914
2044,2458,2430,4888
2045,2443,2423,4866
2046,2424,2413,4837
2047,2406,2400,4806
2048,2387,2385,4772
2049,2365,2368,4733
2050,2344,2350,4694
2051,2323,2331,4654
2052,2299,2310,4609
2053,2278,2287,4565
2054,2254,2267,4521
2055,2235,2246,4481
2056,2214,2223,4437
2057,2193,2198,4391
2058,2172,2175,4347
2059,2151,2152,4303
2060,2129,2130,4259
2061,2103,2109,4212
2062,2076,2086,4162
2063,2047,2064,4111
2064,2017,2040,4057
2065,1988,2019,4007
