year,male,female,total
2019,23804,23411,47215
2020,23786,23449,47235
2021,23765,23482,47247
2022,23741,23513,47254
2023,23711,23532,47243
2024,23669,23552,47221
2025,23633,23572,47205
2026,23592,23583,47175
2027,23542,23588,47130
2028,23481,23585,47066
2029,23412,23573,46985
2030,23332,23549,46881
2031,23246,23516,46762
2032,23146,23468,46614
2033,23037,23414,46451
2034,22917,23348,46265
2035,22810,23293,46103
2036,22691,23227,45918
2037,22558,23145,45703
2038,22416,23054,45470
2039,22263,22947,45210
2040,22098,22826,44924
2041,21920,22693,44613
2042,21729,22545,44274
2043,21530,22383,43913
2044,21324,22215,43539
2045,21128,22057,43185
2046,20922,21883,42805
2047,20710,21695,42405
2048,20482,21499,41981
2049,20251,21292,41543
2050,20018,21079,41097
2051,19779,20859,40638
2052,19540,20634,40174
2053,19297,20396,39693
2054,19049,20167,39216
2055,18819,19948,38767
2056,18587,19724,38311
2057,18355,19496,37851
2058,18113,19263,37376
2059,17869,19027,36896
2060,17622,18780,36402
2061,17381,18534,35915
2062,17135,18283,35418
2063,16892,18036,34928
2064,16648,17782,34430
2065,16413,17543,33956
