year,male,female,total
2019,26861,26987,53848
2020,26821,27005,53826
2021,26772,27015,53787
2022,26718,27017,53735
2023,26652,27008,53660
2024,26579,26992,53571
2025,26516,26983,53499
2026,26445,26970,53415
2027,26366,26946,53312
2028,26276,26903,53179
2029,26170,26851,53021
2030,26054,26786,52840
2031,25920,26710,52630
2032,25774,26617,52391
2033,25614,26505,52119
2034,25439,26376,51815
2035,25277,26266,51543
2036,25102,26135,51237
2037,24912,25988,50900
2038,24706,25821,50527
2039,24483,25641,50124
2040,24249,25439,49688
2041,24000,25224,49224
2042,23743,24994,48737
2043,23479,24750,48229
2044,23205,24491,47696
2045,22949,24253,47202
2046,22684,24005,46689
2047,22411,23739,46150
2048,22131,23460,45591
2049,21844,23171,45015
2050,21556,22877,44433
2051,21261,22578,43839
2052,20969,22274,43243
2053,20677,21962,42639
2054,20380,21654,42034
2055,20104,21366,41470
2056,19831,21073,40904
2057,19555,20778,40333
2058,19277,20480,39757
2059,19002,20180,39182
2060,18726,19879,38605
2061,18445,19574,38019
2062,18161,19275,37436
2063,17881,18984,36865
2064,17597,18683,36280
2065,17325,18402,35727
