year,male,female,total
2019,6698,5536,12234
2020,6687,5548,12235
2021,6675,5556,12231
2022,6658,5562,12220
2023,6637,5564,12201
2024,6613,5566,12179
2025,6593,5571,12164
2026,6568,5574,12142
2027,6541,5576,12117
2028,6508,5571,12079
2029,6477,5565,12042
2030,6437,5556,11993
2031,6394,5544,11938
2032,6348,5531,11879
2033,6297,5513,11810
2034,6242,5492,11734
2035,6195,5476,11671
2036,6144,5456,11600
2037,6090,5432,11522
2038,6033,5402,11435
2039,5973,5373,11346
2040,5907,5341,11248
2041,5837,5307,11144
2042,5761,5271,11032
2043,5687,5228,10915
2044,5612,5184,10796
2045,5544,5142,10686
2046,5470,5097,10567
2047,5392,5050,10442
2048,5312,5004,10316
2049,5232,4956,10188
2050,5147,4910,10057
2051,5064,4863,9927
2052,4979,4814,9793
2053,4893,4765,9658
2054,4804,4714,9518
2055,4722,4668,9390
2056,4641,4618,9259
2057,4561,4569,9130
2058,4480,4523,9003
2059,4398,4473,8871
2060,4314,4419,8733
2061,4232,4365,8597
2062,4148,4312,8460
2063,4069,4260,8329
2064,3992,4205,8197
2065,3920,4153,8073
