year,male,female,total
2019,4503,3927,8430
2020,4470,3910,8380
2021,4440,3896,8336
2022,4407,3881,8288
2023,4375,3863,8238
2024,4343,3844,8187
2025,4314,3828,8142
2026,4286,3808,8094
2027,4256,3788,8044
2028,4224,3767,7991
2029,4193,3748,7941
2030,4155,3725,7880
2031,4116,3703,7819
2032,4077,3677,7754
2033,4035,3650,7685
2034,3993,3622,7615
2035,3954,3598,7552
2036,3916,3570,7486
2037,3872,3546,7418
2038,3830,3518,7348
2039,3785,3490,7275
2040,3739,3461,7200
2041,3686,3429,7115
2042,3632,3397,7029
2043,3578,3361,6939
2044,3522,3325,6847
2045,3471,3291,6762
2046,3419,3258,6677
2047,3365,3221,6586
2048,3313,3182,6495
2049,3259,3143,6402
2050,3205,3106,6311
2051,3150,3067,6217
2052,3095,3027,6122
2053,3043,2983,6026
2054,2988,2940,5928
2055,2938,2903,5841
2056,2888,2865,5753
2057,2835,2827,5662
2058,2782,2789,5571
2059,2731,2751,5482
2060,2678,2712,5390
2061,2626,2668,5294
2062,2576,2624,5200
2063,2524,2581,5105
2064,2473,2541,5014
2065,2429,2502,4931
