year,male,female,total
2019,13134,12687,25821
2020,13109,12698,25807
2021,13085,12700,25785
2022,13051,12701,25752
2023,13011,12694,25705
2024,12968,12686,25654
2025,12929,12679,25608
2026,12884,12665,25549
2027,12835,12643,25478
2028,12779,12620,25399
2029,12716,12593,25309
2030,12647,12556,25203
2031,12575,12515,25090
2032,12493,12462,24955
2033,12407,12404,24811
2034,12317,12338,24655
2035,12230,12284,24514
2036,12137,12218,24355
2037,12040,12149,24189
2038,11933,12077,24010
2039,11824,11996,23820
2040,11711,11913,23624
2041,11590,11827,23417
2042,11469,11734,23203
2043,11344,11640,22984
2044,11214,11542,22756
2045,11095,11455,22550
2046,10975,11363,22338
2047,10853,11268,22121
2048,10728,11165,21893
2049,10603,11059,21662
2050,10476,10948,21424
2051,10344,10833,21177
2052,10213,10713,20926
2053,10082,10593,20675
2054,9949,10475,20424
2055,9827,10364,20191
2056,9703,10248,19951
2057,9577,10125,19702
2058,9450,10006,19456
2059,9320,9882,19202
2060,9195,9758,18953
2061,9066,9629,18695
2062,8933,9501,18434
2063,8800,9372,18172
2064,8668,9242,17910
2065,8541,9119,17660
