year,age_range,male,female,total
2019,0-4,61,62,123
2019,5-9,63,42,105
2019,10-14,48,52,100
2019,15-19,71,67,138
2019,20-24,117,103,220
2019,25-29,136,134,270
2019,30-34,107,116,223
2019,35-39,131,134,265
2019,40-44,131,124,255
2019,45-49,157,125,282
2019,50-54,153,155,308
2019,55-59,169,141,310
2019,60-64,104,111,215
2019,65-69,89,68,157
2019,70-74,51,55,106
2019,75-79,36,49,85
2019,80-84,36,44,80
2019,85-89,17,20,37
2019,90-94,3,10,13
2019,95-99,1,1,2
2019,100+,0,1,1
2020,0-4,66,61,127
2020,5-9,57,48,105
2020,10-14,51,52,103
2020,15-19,57,60,117
2020,20-24,107,92,199
2020,25-29,143,128,271
2020,30-34,110,125,235
2020,35-39,131,133,264
2020,40-44,132,120,252
2020,45-49,145,123,268
2020,50-54,154,148,302
2020,55-59,171,137,308
2020,60-64,124,131,255
2020,65-69,87,80,167
2020,70-74,59,53,112
2020,75-79,38,48,86
2020,80-84,28,39,67
2020,85-89,20,31,51
2020,90-94,4,10,14
2020,95-99,2,1,3
2020,100+,0,0,0
2021,0-4,60,59,119
2021,5-9,73,52,125
2021,10-14,45,53,98
2021,15-19,51,53,104
2021,20-24,100,85,185
2021,25-29,140,130,270
2021,30-34,119,131,250
2021,35-39,118,120,238
2021,40-44,133,120,253
2021,45-49,130,126,256
2021,50-54,155,142,297
2021,55-59,186,149,335
2021,60-64,125,127,252
2021,65-69,89,89,178
2021,70-74,74,56,130
2021,75-79,38,50,88
2021,80-84,28,39,67
2021,85-89,22,36,58
2021,90-94,4,10,14
2021,95-99,2,1,3
2021,100+,0,0,0
2022,0-4,62,60,122
2022,5-9,68,51,119
2022,10-14,51,58,109
2022,15-19,50,48,98
2022,20-24,81,77,158
2022,25-29,137,121,258
2022,30-34,133,135,268
2022,35-39,113,118,231
2022,40-44,133,121,254
2022,45-49,120,129,249
2022,50-54,168,135,303
2022,55-59,174,152,326
2022,60-64,138,131,269
2022,65-69,90,100,190
2022,70-74,76,62,138
2022,75-79,42,42,84
2022,80-84,30,50,80
2022,85-89,23,31,54
2022,90-94,6,11,17
2022,95-99,3,3,6
2022,100+,0,0,0
2023,0-4,61,58,119
2023,5-9,67,56,123
2023,10-14,56,51,107
2023,15-19,48,46,94
2023,20-24,74,69,143
2023,25-29,127,123,250
2023,30-34,142,123,265
2023,35-39,99,121,220
2023,40-44,141,129,270
2023,45-49,118,125,243
2023,50-54,166,135,301
2023,55-59,166,150,316
2023,60-64,155,143,298
2023,65-69,95,102,197
2023,70-74,78,65,143
2023,75-79,46,49,95
2023,80-84,31,46,77
2023,85-89,21,31,52
2023,90-94,9,13,22
2023,95-99,3,5,8
2023,100+,0,0,0
2024,0-4,61,57,118
2024,5-9,61,62,123
2024,10-14,63,42,105
2024,15-19,48,52,100
2024,20-24,71,67,138
2024,25-29,117,103,220
2024,30-34,136,134,270
2024,35-39,107,116,223
2024,40-44,131,134,265
2024,45-49,131,124,255
2024,50-54,157,125,282
2024,55-59,153,155,308
2024,60-64,169,141,310
2024,65-69,104,111,215
2024,70-74,85,68,153
2024,75-79,48,55,103
2024,80-84,30,46,76
2024,85-89,21,31,52
2024,90-94,11,13,24
2024,95-99,3,7,10
2024,100+,0,0,0
2025,0-4,61,57,118
2025,5-9,66,61,127
2025,10-14,57,48,105
2025,15-19,51,52,103
2025,20-24,57,60,117
2025,25-29,107,92,199
2025,30-34,143,128,271
2025,35-39,110,125,235
2025,40-44,131,133,264
2025,45-49,132,120,252
2025,50-54,145,123,268
2025,55-59,154,148,302
2025,60-64,171,137,308
2025,65-69,124,131,255
2025,70-74,82,80,162
2025,75-79,55,53,108
2025,80-84,33,45,78
2025,85-89,20,28,48
2025,90-94,12,19,31
2025,95-99,4,8,12
2025,100+,0,0,0
2026,0-4,60,56,116
2026,5-9,60,59,119
2026,10-14,73,52,125
2026,15-19,45,53,98
2026,20-24,51,53,104
2026,25-29,100,85,185
2026,30-34,140,130,270
2026,35-39,119,131,250
2026,40-44,118,120,238
2026,45-49,133,120,253
2026,50-54,130,126,256
2026,55-59,155,142,297
2026,60-64,186,149,335
2026,65-69,125,127,252
2026,70-74,87,89,176
2026,75-79,62,56,118
2026,80-84,34,46,80
2026,85-89,22,29,51
2026,90-94,14,20,34
2026,95-99,4,7,11
2026,100+,0,0,0
2027,0-4,60,55,115
2027,5-9,62,60,122
2027,10-14,68,51,119
2027,15-19,51,58,109
2027,20-24,50,48,98
2027,25-29,81,77,158
2027,30-34,137,121,258
2027,35-39,133,135,268
2027,40-44,113,118,231
2027,45-49,133,121,254
2027,50-54,120,129,249
2027,55-59,168,135,303
2027,60-64,174,152,326
2027,65-69,138,131,269
2027,70-74,88,100,188
2027,75-79,65,62,127
2027,80-84,36,42,78
2027,85-89,22,33,55
2027,90-94,14,18,32
2027,95-99,5,7,12
2027,100+,0,0,0
2028,0-4,59,54,113
2028,5-9,61,58,119
2028,10-14,67,56,123
2028,15-19,56,51,107
2028,20-24,48,46,94
2028,25-29,74,69,143
2028,30-34,127,123,250
2028,35-39,142,123,265
2028,40-44,99,121,220
2028,45-49,141,129,270
2028,50-54,118,125,243
2028,55-59,166,135,301
2028,60-64,166,150,316
2028,65-69,154,143,297
2028,70-74,91,102,193
2028,75-79,67,65,132
2028,80-84,36,48,84
2028,85-89,23,31,54
2028,90-94,14,17,31
2028,95-99,7,7,14
2028,100+,0,0,0
2029,0-4,57,53,110
2029,5-9,61,57,118
2029,10-14,61,62,123
2029,15-19,63,42,105
2029,20-24,48,52,100
2029,25-29,71,67,138
2029,30-34,117,103,220
2029,35-39,136,134,270
2029,40-44,107,116,223
2029,45-49,131,134,265
2029,50-54,131,124,255
2029,55-59,157,125,282
2029,60-64,153,155,308
2029,65-69,165,141,306
2029,70-74,99,111,210
2029,75-79,69,68,137
2029,80-84,37,53,90
2029,85-89,23,32,55
2029,90-94,14,17,31
2029,95-99,7,8,15
2029,100+,0,0,0
2030,0-4,54,51,105
2030,5-9,61,57,118
2030,10-14,66,61,127
2030,15-19,57,48,105
2030,20-24,51,52,103
2030,25-29,57,60,117
2030,30-34,107,92,199
2030,35-39,143,128,271
2030,40-44,110,125,235
2030,45-49,131,133,264
2030,50-54,132,120,252
2030,55-59,145,123,268
2030,60-64,153,148,301
2030,65-69,166,137,303
2030,70-74,113,131,244
2030,75-79,67,80,147
2030,80-84,37,48,85
2030,85-89,24,32,56
2030,90-94,14,16,30
2030,95-99,8,10,18
2030,100+,0,0,0
2031,0-4,51,48,99
2031,5-9,60,56,116
2031,10-14,60,59,119
2031,15-19,73,52,125
2031,20-24,45,53,98
2031,25-29,51,53,104
2031,30-34,100,85,185
2031,35-39,140,130,270
2031,40-44,119,131,250
2031,45-49,118,120,238
2031,50-54,133,120,253
2031,55-59,130,126,256
2031,60-64,155,142,297
2031,65-69,176,149,325
2031,70-74,114,127,241
2031,75-79,70,89,159
2031,80-84,41,51,92
2031,85-89,24,32,56
2031,90-94,14,16,30
2031,95-99,9,9,18
2031,100+,0,0,0
2032,0-4,47,44,91
2032,5-9,60,55,115
2032,10-14,62,60,122
2032,15-19,68,51,119
2032,20-24,51,58,109
2032,25-29,50,48,98
2032,30-34,81,77,158
2032,35-39,137,121,258
2032,40-44,133,135,268
2032,45-49,113,118,231
2032,50-54,133,121,254
2032,55-59,120,129,249
2032,60-64,168,135,303
2032,65-69,162,152,314
2032,70-74,122,131,253
2032,75-79,71,100,171
2032,80-84,43,54,97
2032,85-89,24,30,54
2032,90-94,14,17,31
2032,95-99,9,9,18
2032,100+,0,0,0
2033,0-4,44,41,85
2033,5-9,59,54,113
2033,10-14,61,58,119
2033,15-19,67,56,123
2033,20-24,56,51,107
2033,25-29,48,46,94
2033,30-34,74,69,143
2033,35-39,127,123,250
2033,40-44,142,123,265
2033,45-49,99,121,220
2033,50-54,141,129,270
2033,55-59,118,125,243
2033,60-64,166,135,301
2033,65-69,155,150,305
2033,70-74,132,142,274
2033,75-79,73,100,173
2033,80-84,44,57,101
2033,85-89,24,32,56
2033,90-94,14,17,31
2033,95-99,9,9,18
2033,100+,0,0,0
2034,0-4,41,38,79
2034,5-9,57,53,110
2034,10-14,61,57,118
2034,15-19,61,62,123
2034,20-24,63,42,105
2034,25-29,48,52,100
2034,30-34,71,67,138
2034,35-39,117,103,220
2034,40-44,136,134,270
2034,45-49,107,116,223
2034,50-54,131,134,265
2034,55-59,131,124,255
2034,60-64,157,125,282
2034,65-69,145,155,300
2034,70-74,141,139,280
2034,75-79,78,106,184
2034,80-84,45,61,106
2034,85-89,24,35,59
2034,90-94,14,17,31
2034,95-99,9,9,18
2034,100+,0,0,0
2035,0-4,39,36,75
2035,5-9,54,51,105
2035,10-14,61,57,118
2035,15-19,66,61,127
2035,20-24,57,48,105
2035,25-29,51,52,103
2035,30-34,57,60,117
2035,35-39,107,92,199
2035,40-44,143,128,271
2035,45-49,110,125,235
2035,50-54,131,133,264
2035,55-59,132,120,252
2035,60-64,145,123,268
2035,65-69,148,148,296
2035,70-74,142,137,279
2035,75-79,88,123,211
2035,80-84,45,68,113
2035,85-89,24,35,59
2035,90-94,16,19,35
2035,95-99,9,11,20
2035,100+,0,0,0
2036,0-4,37,35,72
2036,5-9,51,48,99
2036,10-14,60,56,116
2036,15-19,60,59,119
2036,20-24,73,52,125
2036,25-29,45,53,98
2036,30-34,51,53,104
2036,35-39,100,85,185
2036,40-44,140,130,270
2036,45-49,119,131,250
2036,50-54,118,120,238
2036,55-59,133,120,253
2036,60-64,130,126,256
2036,65-69,155,142,297
2036,70-74,151,149,300
2036,75-79,89,119,208
2036,80-84,47,73,120
2036,85-89,26,36,62
2036,90-94,16,19,35
2036,95-99,9,11,20
2036,100+,0,0,0
2037,0-4,37,35,72
2037,5-9,47,44,91
2037,10-14,60,55,115
2037,15-19,62,60,122
2037,20-24,68,51,119
2037,25-29,51,58,109
2037,30-34,50,48,98
2037,35-39,81,77,158
2037,40-44,137,121,258
2037,45-49,133,135,268
2037,50-54,113,118,231
2037,55-59,133,121,254
2037,60-64,120,129,249
2037,65-69,167,135,302
2037,70-74,142,152,294
2037,75-79,97,123,220
2037,80-84,48,78,126
2037,85-89,26,38,64
2037,90-94,16,19,35
2037,95-99,9,11,20
2037,100+,0,0,0
2038,0-4,36,35,71
2038,5-9,44,41,85
2038,10-14,59,54,113
2038,15-19,61,58,119
2038,20-24,67,56,123
2038,25-29,56,51,107
2038,30-34,48,46,94
2038,35-39,74,69,143
2038,40-44,127,123,250
2038,45-49,142,123,265
2038,50-54,99,121,220
2038,55-59,141,129,270
2038,60-64,118,125,243
2038,65-69,163,135,298
2038,70-74,139,150,289
2038,75-79,107,133,240
2038,80-84,49,80,129
2038,85-89,25,38,63
2038,90-94,16,19,35
2038,95-99,9,11,20
2038,100+,0,0,0
2039,0-4,35,34,69
2039,5-9,41,38,79
2039,10-14,57,53,110
2039,15-19,61,57,118
2039,20-24,61,62,123
2039,25-29,63,42,105
2039,30-34,48,52,100
2039,35-39,71,67,138
2039,40-44,117,103,220
2039,45-49,136,134,270
2039,50-54,107,116,223
2039,55-59,131,134,265
2039,60-64,131,124,255
2039,65-69,152,125,277
2039,70-74,132,155,287
2039,75-79,116,132,248
2039,80-84,55,86,141
2039,85-89,25,41,66
2039,90-94,16,19,35
2039,95-99,9,11,20
2039,100+,0,0,0
2040,0-4,34,33,67
2040,5-9,39,36,75
2040,10-14,54,51,105
2040,15-19,61,57,118
2040,20-24,66,61,127
2040,25-29,57,48,105
2040,30-34,51,52,103
2040,35-39,57,60,117
2040,40-44,107,92,199
2040,45-49,143,128,271
2040,50-54,110,125,235
2040,55-59,131,133,264
2040,60-64,132,120,252
2040,65-69,141,123,264
2040,70-74,135,148,283
2040,75-79,117,132,249
2040,80-84,63,100,163
2040,85-89,24,44,68
2040,90-94,16,19,35
2040,95-99,9,11,20
2040,100+,0,0,0
2041,0-4,33,31,64
2041,5-9,37,35,72
2041,10-14,51,48,99
2041,15-19,60,56,116
2041,20-24,60,59,119
2041,25-29,73,52,125
2041,30-34,45,53,98
2041,35-39,51,53,104
2041,40-44,100,85,185
2041,45-49,140,130,270
2041,50-54,119,131,250
2041,55-59,118,120,238
2041,60-64,133,120,253
2041,65-69,129,126,255
2041,70-74,138,142,280
2041,75-79,126,140,266
2041,80-84,64,99,163
2041,85-89,28,48,76
2041,90-94,16,19,35
2041,95-99,9,11,20
2041,100+,0,0,0
2042,0-4,30,29,59
2042,5-9,37,35,72
2042,10-14,47,44,91
2042,15-19,60,55,115
2042,20-24,62,60,122
2042,25-29,68,51,119
2042,30-34,51,58,109
2042,35-39,50,48,98
2042,40-44,81,77,158
2042,45-49,137,121,258
2042,50-54,133,135,268
2042,55-59,113,118,231
2042,60-64,133,121,254
2042,65-69,120,129,249
2042,70-74,146,135,281
2042,75-79,120,142,262
2042,80-84,72,102,174
2042,85-89,28,53,81
2042,90-94,16,19,35
2042,95-99,9,11,20
2042,100+,0,0,0
2043,0-4,28,27,55
2043,5-9,36,35,71
2043,10-14,44,41,85
2043,15-19,59,54,113
2043,20-24,61,58,119
2043,25-29,67,56,123
2043,30-34,56,51,107
2043,35-39,48,46,94
2043,40-44,74,69,143
2043,45-49,127,123,250
2043,50-54,142,123,265
2043,55-59,99,121,220
2043,60-64,141,129,270
2043,65-69,118,125,243
2043,70-74,145,135,280
2043,75-79,116,140,256
2043,80-84,82,110,192
2043,85-89,28,55,83
2043,90-94,16,19,35
2043,95-99,9,11,20
2043,100+,0,0,0
2044,0-4,28,27,55
2044,5-9,35,34,69
2044,10-14,41,38,79
2044,15-19,57,53,110
2044,20-24,61,57,118
2044,25-29,61,62,123
2044,30-34,63,42,105
2044,35-39,48,52,100
2044,40-44,71,67,138
2044,45-49,117,103,220
2044,50-54,136,134,270
2044,55-59,107,116,223
2044,60-64,131,134,265
2044,65-69,131,124,255
2044,70-74,137,125,262
2044,75-79,108,145,253
2044,80-84,91,109,200
2044,85-89,33,61,94
2044,90-94,16,21,37
2044,95-99,9,11,20
2044,100+,0,0,0
2045,0-4,28,27,55
2045,5-9,34,33,67
2045,10-14,39,36,75
2045,15-19,54,51,105
2045,20-24,61,57,118
2045,25-29,66,61,127
2045,30-34,57,48,105
2045,35-39,51,52,103
2045,40-44,57,60,117
2045,45-49,107,92,199
2045,50-54,143,128,271
2045,55-59,110,125,235
2045,60-64,131,133,264
2045,65-69,132,120,252
2045,70-74,129,123,252
2045,75-79,110,140,250
2045,80-84,92,107,199
2045,85-89,40,75,115
2045,90-94,17,24,41
2045,95-99,9,12,21
2045,100+,0,0,0
2046,0-4,29,28,57
2046,5-9,33,31,64
2046,10-14,37,35,72
2046,15-19,51,48,99
2046,20-24,60,56,116
2046,25-29,60,59,119
2046,30-34,73,52,125
2046,35-39,45,53,98
2046,40-44,51,53,104
2046,45-49,100,85,185
2046,50-54,140,130,270
2046,55-59,119,131,250
2046,60-64,118,120,238
2046,65-69,133,120,253
2046,70-74,121,126,247
2046,75-79,113,135,248
2046,80-84,101,115,216
2046,85-89,42,74,116
2046,90-94,18,27,45
2046,95-99,9,12,21
2046,100+,0,0,0
2047,0-4,31,30,61
2047,5-9,30,29,59
2047,10-14,37,35,72
2047,15-19,47,44,91
2047,20-24,60,55,115
2047,25-29,62,60,122
2047,30-34,68,51,119
2047,35-39,51,58,109
2047,40-44,50,48,98
2047,45-49,81,77,158
2047,50-54,137,121,258
2047,55-59,133,135,268
2047,60-64,113,118,231
2047,65-69,133,121,254
2047,70-74,115,129,244
2047,75-79,121,129,250
2047,80-84,95,117,212
2047,85-89,48,77,125
2047,90-94,17,30,47
2047,95-99,9,12,21
2047,100+,0,0,0
2048,0-4,33,31,64
2048,5-9,28,27,55
2048,10-14,36,35,71
2048,15-19,44,41,85
2048,20-24,59,54,113
2048,25-29,61,58,119
2048,30-34,67,56,123
2048,35-39,56,51,107
2048,40-44,48,46,94
2048,45-49,74,69,143
2048,50-54,127,123,250
2048,55-59,142,123,265
2048,60-64,99,121,220
2048,65-69,141,129,270
2048,70-74,115,125,240
2048,75-79,120,130,250
2048,80-84,91,116,207
2048,85-89,57,84,141
2048,90-94,17,30,47
2048,95-99,9,12,21
2048,100+,0,0,0
2049,0-4,33,31,64
2049,5-9,28,27,55
2049,10-14,35,34,69
2049,15-19,41,38,79
2049,20-24,57,53,110
2049,25-29,61,57,118
2049,30-34,61,62,123
2049,35-39,63,42,105
2049,40-44,48,52,100
2049,45-49,71,67,138
2049,50-54,117,103,220
2049,55-59,136,134,270
2049,60-64,107,116,223
2049,65-69,131,134,265
2049,70-74,125,124,249
2049,75-79,116,121,237
2049,80-84,83,121,204
2049,85-89,65,82,147
2049,90-94,19,36,55
2049,95-99,9,12,21
2049,100+,0,0,0
2050,0-4,34,31,65
2050,5-9,28,27,55
2050,10-14,34,33,67
2050,15-19,39,36,75
2050,20-24,54,51,105
2050,25-29,61,57,118
2050,30-34,66,61,127
2050,35-39,57,48,105
2050,40-44,51,52,103
2050,45-49,57,60,117
2050,50-54,107,92,199
2050,55-59,143,128,271
2050,60-64,110,125,235
2050,65-69,131,133,264
2050,70-74,124,120,244
2050,75-79,109,120,229
2050,80-84,85,116,201
2050,85-89,65,82,147
2050,90-94,23,47,70
2050,95-99,9,12,21
2050,100+,0,0,0
2051,0-4,34,31,65
2051,5-9,29,28,57
2051,10-14,33,31,64
2051,15-19,37,35,72
2051,20-24,51,48,99
2051,25-29,60,56,116
2051,30-34,60,59,119
2051,35-39,73,52,125
2051,40-44,45,53,98
2051,45-49,51,53,104
2051,50-54,100,85,185
2051,55-59,140,130,270
2051,60-64,119,131,250
2051,65-69,118,120,238
2051,70-74,126,120,246
2051,75-79,99,123,222
2051,80-84,88,112,200
2051,85-89,73,90,163
2051,90-94,24,45,69
2051,95-99,9,13,22
2051,100+,0,0,0
2052,0-4,34,30,64
2052,5-9,31,30,61
2052,10-14,30,29,59
2052,15-19,37,35,72
2052,20-24,47,44,91
2052,25-29,60,55,115
2052,30-34,62,60,122
2052,35-39,68,51,119
2052,40-44,51,58,109
2052,45-49,50,48,98
2052,50-54,81,77,158
2052,55-59,137,121,258
2052,60-64,133,135,268
2052,65-69,113,118,231
2052,70-74,125,121,246
2052,75-79,93,126,219
2052,80-84,96,108,204
2052,85-89,65,92,157
2052,90-94,27,47,74
2052,95-99,9,14,23
2052,100+,0,0,0
2053,0-4,34,31,65
2053,5-9,33,31,64
2053,10-14,28,27,55
2053,15-19,36,35,71
2053,20-24,44,41,85
2053,25-29,59,54,113
2053,30-34,61,58,119
2053,35-39,67,56,123
2053,40-44,56,51,107
2053,45-49,48,46,94
2053,50-54,74,69,143
2053,55-59,127,123,250
2053,60-64,142,123,265
2053,65-69,99,121,220
2053,70-74,132,129,261
2053,75-79,92,123,215
2053,80-84,95,108,203
2053,85-89,61,91,152
2053,90-94,33,54,87
2053,95-99,9,13,22
2053,100+,0,0,0
2054,0-4,36,32,68
2054,5-9,33,31,64
2054,10-14,28,27,55
2054,15-19,35,34,69
2054,20-24,41,38,79
2054,25-29,57,53,110
2054,30-34,61,57,118
2054,35-39,61,62,123
2054,40-44,63,42,105
2054,45-49,48,52,100
2054,50-54,71,67,138
2054,55-59,117,103,220
2054,60-64,136,134,270
2054,65-69,107,116,223
2054,70-74,124,134,258
2054,75-79,100,120,220
2054,80-84,90,101,191
2054,85-89,55,95,150
2054,90-94,38,52,90
2054,95-99,9,18,27
2054,100+,0,0,0
2055,0-4,37,33,70
2055,5-9,34,31,65
2055,10-14,28,27,55
2055,15-19,34,33,67
2055,20-24,39,36,75
2055,25-29,54,51,105
2055,30-34,61,57,118
2055,35-39,66,61,127
2055,40-44,57,48,105
2055,45-49,51,52,103
2055,50-54,57,60,117
2055,55-59,107,92,199
2055,60-64,143,128,271
2055,65-69,110,125,235
2055,70-74,124,133,257
2055,75-79,101,117,218
2055,80-84,83,100,183
2055,85-89,57,91,148
2055,90-94,40,56,96
2055,95-99,12,22,34
2055,100+,0,0,0
2056,0-4,38,34,72
2056,5-9,34,31,65
2056,10-14,29,28,57
2056,15-19,33,31,64
2056,20-24,37,35,72
2056,25-29,51,48,99
2056,30-34,60,56,116
2056,35-39,60,59,119
2056,40-44,73,52,125
2056,45-49,45,53,98
2056,50-54,51,53,104
2056,55-59,100,85,185
2056,60-64,140,130,270
2056,65-69,119,131,250
2056,70-74,113,120,233
2056,75-79,102,119,221
2056,80-84,74,102,176
2056,85-89,61,87,148
2056,90-94,45,63,108
2056,95-99,11,21,32
2056,100+,0,0,0
2057,0-4,38,35,73
2057,5-9,34,30,64
2057,10-14,31,30,61
2057,15-19,30,29,59
2057,20-24,37,35,72
2057,25-29,47,44,91
2057,30-34,60,55,115
2057,35-39,62,60,122
2057,40-44,68,51,119
2057,45-49,51,58,109
2057,50-54,50,48,98
2057,55-59,81,77,158
2057,60-64,137,121,258
2057,65-69,133,135,268
2057,70-74,108,118,226
2057,75-79,103,121,224
2057,80-84,68,105,173
2057,85-89,68,83,151
2057,90-94,40,64,104
2057,95-99,12,25,37
2057,100+,0,0,0
2058,0-4,38,34,72
2058,5-9,34,31,65
2058,10-14,33,31,64
2058,15-19,28,27,55
2058,20-24,36,35,71
2058,25-29,44,41,85
2058,30-34,59,54,113
2058,35-39,61,58,119
2058,40-44,67,56,123
2058,45-49,56,51,107
2058,50-54,48,46,94
2058,55-59,74,69,143
2058,60-64,127,123,250
2058,65-69,142,123,265
2058,70-74,97,121,218
2058,75-79,109,129,238
2058,80-84,67,104,171
2058,85-89,66,83,149
2058,90-94,37,62,99
2058,95-99,16,28,44
2058,100+,0,0,0
2059,0-4,36,33,69
2059,5-9,36,32,68
2059,10-14,33,31,64
2059,15-19,28,27,55
2059,20-24,35,34,69
2059,25-29,41,38,79
2059,30-34,57,53,110
2059,35-39,61,57,118
2059,40-44,61,62,123
2059,45-49,63,42,105
2059,50-54,48,52,100
2059,55-59,71,67,138
2059,60-64,117,103,220
2059,65-69,136,134,270
2059,70-74,105,116,221
2059,75-79,103,133,236
2059,80-84,75,104,179
2059,85-89,61,76,137
2059,90-94,32,66,98
2059,95-99,19,28,47
2059,100+,0,0,0
2060,0-4,34,31,65
2060,5-9,37,33,70
2060,10-14,34,31,65
2060,15-19,28,27,55
2060,20-24,34,33,67
2060,25-29,39,36,75
2060,30-34,54,51,105
2060,35-39,61,57,118
2060,40-44,66,61,127
2060,45-49,57,48,105
2060,50-54,51,52,103
2060,55-59,57,60,117
2060,60-64,107,92,199
2060,65-69,143,128,271
2060,70-74,109,125,234
2060,75-79,103,130,233
2060,80-84,76,102,178
2060,85-89,53,75,128
2060,90-94,35,65,100
2060,95-99,20,29,49
2060,100+,0,0,0
2061,0-4,31,29,60
2061,5-9,38,34,72
2061,10-14,34,31,65
2061,15-19,29,28,57
2061,20-24,33,31,64
2061,25-29,37,35,72
2061,30-34,51,48,99
2061,35-39,60,56,116
2061,40-44,60,59,119
2061,45-49,73,52,125
2061,50-54,45,53,98
2061,55-59,51,53,104
2061,60-64,100,85,185
2061,65-69,140,130,270
2061,70-74,117,131,248
2061,75-79,95,117,212
2061,80-84,77,103,180
2061,85-89,49,77,126
2061,90-94,36,61,97
2061,95-99,22,32,54
2061,100+,0,0,0
2062,0-4,29,27,56
2062,5-9,38,35,73
2062,10-14,34,30,64
2062,15-19,31,30,61
2062,20-24,30,29,59
2062,25-29,37,35,72
2062,30-34,47,44,91
2062,35-39,60,55,115
2062,40-44,62,60,122
2062,45-49,68,51,119
2062,50-54,51,58,109
2062,55-59,50,48,98
2062,60-64,81,77,158
2062,65-69,137,121,258
2062,70-74,129,135,264
2062,75-79,93,115,208
2062,80-84,78,104,182
2062,85-89,43,80,123
2062,90-94,40,56,96
2062,95-99,18,33,51
2062,100+,0,0,0
2063,0-4,27,26,53
2063,5-9,38,34,72
2063,10-14,34,31,65
2063,15-19,33,31,64
2063,20-24,28,27,55
2063,25-29,36,35,71
2063,30-34,44,41,85
2063,35-39,59,54,113
2063,40-44,61,58,119
2063,45-49,67,56,123
2063,50-54,56,51,107
2063,55-59,48,46,94
2063,60-64,74,69,143
2063,65-69,127,123,250
2063,70-74,135,123,258
2063,75-79,85,120,205
2063,80-84,84,109,193
2063,85-89,42,79,121
2063,90-94,39,56,95
2063,95-99,15,33,48
2063,100+,0,0,0
2064,0-4,26,25,51
2064,5-9,36,33,69
2064,10-14,36,32,68
2064,15-19,33,31,64
2064,20-24,28,27,55
2064,25-29,35,34,69
2064,30-34,41,38,79
2064,35-39,57,53,110
2064,40-44,61,57,118
2064,45-49,61,62,123
2064,50-54,63,42,105
2064,55-59,48,52,100
2064,60-64,71,67,138
2064,65-69,117,103,220
2064,70-74,130,134,264
2064,75-79,90,115,205
2064,80-84,78,112,190
2064,85-89,50,79,129
2064,90-94,36,51,87
2064,95-99,12,35,47
2064,100+,0,0,0
2065,0-4,25,24,49
2065,5-9,34,31,65
2065,10-14,37,33,70
2065,15-19,34,31,65
2065,20-24,28,27,55
2065,25-29,34,33,67
2065,30-34,39,36,75
2065,35-39,54,51,105
2065,40-44,61,57,118
2065,45-49,66,61,127
2065,50-54,57,48,105
2065,55-59,51,52,103
2065,60-64,57,60,117
2065,65-69,107,92,199
2065,70-74,137,128,265
2065,75-79,92,123,215
2065,80-84,78,112,190
2065,85-89,51,77,128
2065,90-94,30,50,80
2065,95-99,16,35,51
2065,100+,0,0,0
