year,male,female,total
2019,1681,1614,3295
2020,1686,1620,3306
2021,1692,1628,3320
2022,1698,1635,3333
2023,1703,1640,3343
2024,1707,1643,3350
2025,1715,1648,3363
2026,1718,1650,3368
2027,1718,1653,3371
2028,1716,1653,3369
2029,1707,1654,3361
2030,1696,1652,3348
2031,1683,1648,3331
2032,1668,1645,3313
2033,1653,1638,3291
2034,1637,1629,3266
2035,1625,1627,3252
2036,1610,1617,3227
2037,1597,1608,3205
2038,1580,1597,3177
2039,1564,1585,3149
2040,1547,1573,3120
2041,1530,1558,3088
2042,1513,1543,3056
2043,1496,1528,3024
2044,1481,1515,2996
2045,1467,1504,2971
2046,1453,1490,2943
2047,1438,1476,2914
2048,1424,1461,2885
2049,1406,1446,2852
2050,1387,1431,2818
2051,1369,1415,2784
2052,1349,1399,2748
2053,1330,1384,2714
2054,1310,1368,2678
2055,1295,1353,2648
2056,1276,1338,2614
2057,1258,1324,2582
2058,1239,1306,2545
2059,1218,1288,2506
2060,1198,1266,2464
2061,1178,1245,2423
2062,1156,1223,2379
2063,1132,1202,2334
2064,1109,1182,2291
2065,1088,1161,2249
