year,male,female,total
2019,13135,12246,25381
2020,13105,12253,25358
2021,13063,12259,25322
2022,13021,12256,25277
2023,12974,12249,25223
2024,12928,12234,25162
2025,12883,12224,25107
2026,12832,12212,25044
2027,12777,12193,24970
2028,12713,12173,24886
2029,12646,12145,24791
2030,12570,12108,24678
2031,12491,12064,24555
2032,12405,12014,24419
2033,12311,11959,24270
2034,12211,11896,24107
2035,12118,11839,23957
2036,12015,11774,23789
2037,11900,11706,23606
2038,11779,11627,23406
2039,11648,11543,23191
2040,11519,11453,22972
2041,11383,11360,22743
2042,11245,11260,22505
2043,11099,11156,22255
2044,10949,11049,21998
2045,10809,10951,21760
2046,10668,10851,21519
2047,10530,10747,21277
2048,10386,10634,21020
2049,10242,10518,20760
2050,10095,10398,20493
2051,9952,10270,20222
2052,9806,10144,19950
2053,9656,10011,19667
2054,9511,9878,19389
2055,9375,9756,19131
2056,9237,9634,18871
2057,9098,9509,18607
2058,8960,9382,18342
2059,8822,9254,18076
2060,8683,9123,17806
2061,8547,8991,17538
2062,8408,8862,17270
2063,8272,8728,17000
2064,8135,8593,16728
2065,8003,8467,16470
