year,male,female,total
2019,46028,44527,90555
2020,46040,44610,90650
2021,46043,44690,90733
2022,46033,44762,90795
2023,46002,44809,90811
2024,45959,44851,90810
2025,45920,44902,90822
2026,45864,44932,90796
2027,45787,44951,90738
2028,45690,44953,90643
2029,45576,44933,90509
2030,45439,44893,90332
2031,45282,44839,90121
2032,45095,44759,89854
2033,44886,44661,89547
2034,44654,44547,89201
2035,44446,44454,88900
2036,44205,44333,88538
2037,43943,44188,88131
2038,43661,44018,87679
2039,43359,43830,87189
2040,43035,43622,86657
2041,42693,43389,86082
2042,42340,43141,85481
2043,41972,42876,84848
2044,41591,42592,84183
2045,41239,42335,83574
2046,40873,42058,82931
2047,40492,41756,82248
2048,40099,41434,81533
2049,39695,41097,80792
2050,39279,40741,80020
2051,38848,40365,79213
2052,38410,39982,78392
2053,37966,39578,77544
2054,37517,39165,76682
2055,37094,38781,75875
2056,36659,38382,75041
2057,36219,37973,74192
2058,35764,37555,73319
2059,35299,37120,72419
2060,34829,36675,71504
2061,34354,36220,70574
2062,33867,35756,69623
2063,33380,35284,68664
2064,32886,34805,67691
2065,32412,34345,66757
