year,male,female,total
2019,17853,16913,34766
2020,17841,16931,34772
2021,17827,16950,34777
2022,17807,16964,34771
2023,17779,16972,34751
2024,17745,16974,34719
2025,17714,16978,34692
2026,17673,16975,34648
2027,17622,16966,34588
2028,17560,16950,34510
2029,17493,16925,34418
2030,17413,16894,34307
2031,17327,16854,34181
2032,17236,16804,34040
2033,17132,16747,33879
2034,17021,16685,33706
2035,16920,16638,33558
2036,16807,16573,33380
2037,16684,16501,33185
2038,16552,16421,32973
2039,16409,16331,32740
2040,16262,16236,32498
2041,16106,16130,32236
2042,15940,16014,31954
2043,15775,15894,31669
2044,15602,15763,31365
2045,15439,15644,31083
2046,15275,15524,30799
2047,15100,15395,30495
2048,14923,15258,30181
2049,14744,15114,29858
2050,14565,14964,29529
2051,14379,14809,29188
2052,14197,14652,28849
2053,14014,14492,28506
2054,13829,14331,28160
2055,13654,14183,27837
2056,13474,14027,27501
2057,13294,13872,27166
2058,13113,13710,26823
2059,12930,13543,26473
2060,12741,13370,26111
2061,12549,13197,25746
2062,12354,13021,25375
2063,12156,12843,24999
2064,11961,12663,24624
2065,11768,12494,24262
