year,male,female,total
2019,18973,17725,36698
2020,18940,17732,36672
2021,18908,17740,36648
2022,18872,17736,36608
2023,18829,17727,36556
2024,18778,17713,36491
2025,18732,17705,36437
2026,18681,17692,36373
2027,18624,17673,36297
2028,18554,17648,36202
2029,18474,17612,36086
2030,18393,17569,35962
2031,18302,17520,35822
2032,18200,17463,35663
2033,18093,17402,35495
2034,17976,17333,35309
2035,17867,17273,35140
2036,17750,17204,34954
2037,17626,17129,34755
2038,17491,17046,34537
2039,17349,16953,34302
2040,17194,16850,34044
2041,17031,16739,33770
2042,16864,16620,33484
2043,16689,16496,33185
2044,16512,16363,32875
2045,16346,16246,32592
2046,16169,16114,32283
2047,15985,15971,31956
2048,15796,15823,31619
2049,15606,15669,31275
2050,15412,15511,30923
2051,15212,15344,30556
2052,15010,15178,30188
2053,14811,15006,29817
2054,14607,14836,29443
2055,14419,14683,29102
2056,14234,14518,28752
2057,14044,14357,28401
2058,13854,14189,28043
2059,13664,14017,27681
2060,13468,13844,27312
2061,13272,13670,26942
2062,13075,13496,26571
2063,12874,13320,26194
2064,12678,13140,25818
2065,12486,12974,25460
