year,male,female,total
2019,15372,14064,29436
2020,15310,14029,29339
2021,15247,13997,29244
2022,15180,13962,29142
2023,15106,13919,29025
2024,15031,13870,28901
2025,14958,13828,28786
2026,14885,13786,28671
2027,14808,13735,28543
2028,14724,13684,28408
2029,14637,13626,28263
2030,14545,13565,28110
2031,14446,13499,27945
2032,14344,13432,27776
2033,14231,13361,27592
2034,14112,13284,27396
2035,14003,13218,27221
2036,13888,13148,27036
2037,13765,13070,26835
2038,13637,12991,26628
2039,13503,12902,26405
2040,13360,12806,26166
2041,13207,12706,25913
2042,13052,12603,25655
2043,12891,12496,25387
2044,12730,12387,25117
2045,12577,12288,24865
2046,12421,12183,24604
2047,12259,12075,24334
2048,12095,11961,24056
2049,11934,11845,23779
2050,11768,11725,23493
2051,11603,11606,23209
2052,11441,11485,22926
2053,11277,11360,22637
2054,11114,11233,22347
2055,10958,11118,22076
2056,10803,11003,21806
2057,10650,10888,21538
2058,10493,10770,21263
2059,10338,10645,20983
2060,10184,10522,20706
2061,10025,10391,20416
2062,9868,10263,20131
2063,9713,10129,19842
2064,9558,10001,19559
2065,9408,9876,19284
