year,male,female,total
2019,20166,18925,39091
2020,20161,18952,39113
2021,20150,18978,39128
2022,20137,19001,39138
2023,20121,19020,39141
2024,20094,19032,39126
2025,20072,19048,39120
2026,20046,19061,39107
2027,20011,19068,39079
2028,19968,19071,39039
2029,19917,19066,38983
2030,19854,19052,38906
2031,19787,19036,38823
2032,19710,19011,38721
2033,19625,18977,38602
2034,19527,18936,38463
2035,19438,18907,38345
2036,19341,18870,38211
2037,19233,18821,38054
2038,19115,18764,37879
2039,18986,18697,37683
2040,18847,18620,37467
2041,18696,18536,37232
2042,18536,18441,36977
2043,18372,18338,36710
2044,18203,18224,36427
2045,18045,18119,36164
2046,17880,18011,35891
2047,17708,17885,35593
2048,17532,17755,35287
2049,17353,17618,34971
2050,17172,17467,34639
2051,16982,17313,34295
2052,16789,17149,33938
2053,16593,16981,33574
2054,16397,16811,33208
2055,16209,16649,32858
2056,16019,16488,32507
2057,15827,16327,32154
2058,15633,16152,31785
2059,15440,15979,31419
2060,15243,15799,31042
2061,15043,15616,30659
2062,14842,15433,30275
2063,14640,15241,29881
2064,14433,15045,29478
2065,14233,14867,29100
