year,male,female,total
2019,17502,15663,33165
2020,17396,15580,32976
2021,17289,15502,32791
2022,17178,15422,32600
2023,17064,15337,32401
2024,16948,15246,32194
2025,16836,15170,32006
2026,16720,15092,31812
2027,16604,15013,31617
2028,16490,14932,31422
2029,16369,14846,31215
2030,16238,14757,30995
2031,16104,14659,30763
2032,15962,14558,30520
2033,15814,14453,30267
2034,15657,14349,30006
2035,15516,14260,29776
2036,15367,14164,29531
2037,15211,14059,29270
2038,15042,13950,28992
2039,14870,13837,28707
2040,14690,13720,28410
2041,14506,13603,28109
2042,14316,13478,27794
2043,14126,13349,27475
2044,13933,13220,27153
2045,13749,13105,26854
2046,13567,12986,26553
2047,13380,12868,26248
2048,13194,12742,25936
2049,13006,12615,25621
2050,12809,12488,25297
2051,12606,12356,24962
2052,12403,12223,24626
2053,12204,12085,24289
2054,12005,11947,23952
2055,11818,11817,23635
2056,11630,11689,23319
2057,11444,11559,23003
2058,11252,11422,22674
2059,11060,11289,22349
2060,10873,11148,22021
2061,10683,11005,21688
2062,10495,10861,21356
2063,10309,10710,21019
2064,10121,10559,20680
2065,9938,10417,20355
