year,male,female,total
2019,58176,58162,116338
2020,58161,58304,116465
2021,58147,58436,116583
2022,58110,58552,116662
2023,58058,58649,116707
2024,57997,58728,116725
2025,57957,58816,116773
2026,57895,58889,116784
2027,57821,58950,116771
2028,57723,58989,116712
2029,57605,59001,116606
2030,57458,58987,116445
2031,57295,58949,116244
2032,57105,58883,115988
2033,56890,58790,115680
2034,56651,58672,115323
2035,56429,58580,115009
2036,56177,58454,114631
2037,55899,58303,114202
2038,55597,58124,113721
2039,55264,57916,113180
2040,54906,57676,112582
2041,54522,57407,111929
2042,54114,57109,111223
2043,53682,56780,110462
2044,53229,56419,109648
2045,52802,56089,108891
2046,52354,55728,108082
2047,51884,55334,107218
2048,51390,54897,106287
2049,50872,54432,105304
2050,50337,53935,104272
2051,49787,53410,103197
2052,49213,52856,102069
2053,48632,52286,100918
2054,48041,51688,99729
2055,47482,51130,98612
2056,46908,50548,97456
2057,46333,49951,96284
2058,45752,49340,95092
2059,45160,48704,93864
2060,44569,48064,92633
2061,43975,47409,91384
2062,43374,46746,90120
2063,42773,46069,88842
2064,42164,45393,87557
2065,41591,44754,86345
