year,male,female,total
2019,44208,43595,87803
2020,44242,43737,87979
2021,44269,43868,88137
2022,44286,43991,88277
2023,44286,44098,88384
2024,44275,44192,88467
2025,44273,44293,88566
2026,44254,44379,88633
2027,44224,44445,88669
2028,44175,44487,88662
2029,44107,44509,88616
2030,44013,44507,88520
2031,43897,44476,88373
2032,43757,44421,88178
2033,43586,44337,87923
2034,43389,44230,87619
2035,43195,44134,87329
2036,42977,44008,86985
2037,42734,43857,86591
2038,42465,43680,86145
2039,42171,43472,85643
2040,41849,43243,85092
2041,41503,42986,84489
2042,41144,42706,83850
2043,40765,42408,83173
2044,40365,42084,82449
2045,39992,41788,81780
2046,39604,41470,81074
2047,39200,41126,80326
2048,38777,40767,79544
2049,38341,40378,78719
2050,37899,39978,77877
2051,37447,39554,77001
2052,36982,39118,76100
2053,36513,38666,75179
2054,36039,38203,74242
2055,35595,37763,73358
2056,35144,37314,72458
2057,34685,36858,71543
2058,34220,36384,70604
2059,33745,35906,69651
2060,33267,35410,68677
2061,32781,34904,67685
2062,32292,34394,66686
2063,31797,33879,65676
2064,31302,33359,64661
2065,30829,32866,63695
