year,male,female,total
2019,145500,157788,303288
2020,144993,157684,302677
2021,144533,157594,302127
2022,144033,157457,301490
2023,143498,157260,300758
2024,142927,156998,299925
2025,142397,156771,299168
2026,141817,156476,298293
2027,141188,156111,297299
2028,140488,155657,296145
2029,139711,155108,294819
2030,138856,154471,293327
2031,137929,153733,291662
2032,136919,152895,289814
2033,135826,151952,287778
2034,134645,150906,285551
2035,133551,149956,283507
2036,132366,148897,281263
2037,131103,147730,278833
2038,129765,146467,276232
2039,128354,145101,273455
2040,126881,143632,270513
2041,125348,142080,267428
2042,123767,140453,264220
2043,122150,138746,260896
2044,120495,136977,257472
2045,118955,135352,254307
2046,117385,133648,251033
2047,115782,131862,247644
2048,114154,130012,244166
2049,112509,128109,240618
2050,110855,126169,237024
2051,109189,124185,233374
2052,107522,122185,229707
2053,105861,120168,226029
2054,104208,118148,222356
2055,102668,116287,218955
2056,101125,114410,215535
2057,99586,112523,212109
2058,98045,110628,208673
2059,96507,108723,205230
2060,94964,106819,201783
2061,93432,104918,198350
2062,91893,103010,194903
2063,90356,101103,191459
2064,88824,99230,188054
2065,87364,97463,184827
