year,male,female,total
2019,204607,215355,419962
2020,204971,216116,421087
2021,205260,216809,422069
2022,205454,217422,422876
2023,205555,217954,423509
2024,205558,218388,423946
2025,205576,218836,424412
2026,205506,219201,424707
2027,205333,219470,424803
2028,205045,219636,424681
2029,204652,219692,424344
2030,204147,219627,423774
2031,203529,219442,422971
2032,202800,219136,421936
2033,201968,218712,420680
2034,201032,218157,419189
2035,200179,217690,417869
2036,199212,217097,416309
2037,198149,216377,414526
2038,197001,215530,412531
2039,195765,214560,410325
2040,194430,213458,407888
2041,193016,212233,405249
2042,191532,210885,402417
2043,189977,209428,399405
2044,188351,207843,396194
2045,186842,206396,393238
2046,185268,204820,390088
2047,183611,203108,386719
2048,181892,201281,383173
2049,180108,199332,379440
2050,178279,197294,375573
2051,176387,195154,371541
2052,174451,192930,367381
2053,172474,190644,363118
2054,170452,188311,358763
2055,168547,186123,354670
2056,166604,183879,350483
2057,164614,181599,346213
2058,162584,179257,341841
2059,160512,176856,337368
2060,158417,174433,332850
2061,156283,171969,328252
2062,154118,169463,323581
2063,151923,166916,318839
2064,149710,164365,314075
2065,147583,161953,309536
