year,male,female,total
2019,270751,285525,556276
2020,270623,286026,556649
2021,270415,286449,556864
2022,270080,286746,556826
2023,269622,286902,556524
2024,269048,286920,555968
2025,268496,286969,555465
2026,267839,286889,554728
2027,267059,286680,553739
2028,266156,286318,552474
2029,265114,285809,550923
2030,263945,285143,549088
2031,262658,284324,546982
2032,261243,283355,544598
2033,259714,282241,541955
2034,258067,280968,539035
2035,256573,279862,536435
2036,254954,278596,533550
2037,253221,277170,530391
2038,251390,275594,526984
2039,249462,273859,523321
2040,247427,271968,519395
2041,245298,269924,515222
2042,243087,267747,510834
2043,240798,265428,506226
2044,238438,262977,501415
2045,236253,260742,496995
2046,233986,258348,492334
2047,231627,255784,487411
2048,229191,253091,482282
2049,226670,250244,476914
2050,224093,247317,471410
2051,221442,244261,465703
2052,218740,241138,459878
2053,215993,237963,453956
2054,213203,234738,447941
2055,210578,231738,442316
2056,207902,228689,436591
2057,205181,225598,430779
2058,202410,222462,424872
2059,199604,219274,418878
2060,196757,216056,412813
2061,193881,212810,406691
2062,190969,209536,400505
2063,188026,206225,394251
2064,185070,202902,387972
2065,182236,199759,381995
