year,male,female,total
2019,98870,104199,203069
2020,98806,104323,203129
2021,98726,104432,203158
2022,98613,104503,203116
2023,98470,104541,203011
2024,98292,104548,202840
2025,98130,104572,202702
2026,97927,104549,202476
2027,97688,104491,202179
2028,97398,104378,201776
2029,97058,104213,201271
2030,96653,103980,200633
2031,96192,103687,199879
2032,95668,103335,199003
2033,95079,102911,197990
2034,94430,102403,196833
2035,93824,101950,195774
2036,93147,101429,194576
2037,92407,100830,193237
2038,91611,100159,191770
2039,90753,99421,190174
2040,89843,98618,188461
2041,88880,97744,186624
2042,87873,96811,184684
2043,86835,95824,182659
2044,85760,94782,180542
2045,84749,93814,178563
2046,83710,92789,176499
2047,82637,91697,174334
2048,81538,90550,172088
2049,80408,89345,169753
2050,79270,88109,167379
2051,78114,86826,164940
2052,76940,85509,162449
2053,75762,84176,159938
2054,74584,82817,157401
2055,73477,81548,155025
2056,72364,80257,152621
2057,71251,78958,150209
2058,70130,77636,147766
2059,69009,76300,145309
2060,67886,74952,142838
2061,66767,73597,140364
2062,65644,72232,137876
2063,64527,70866,135393
2064,63411,69512,132923
2065,62350,68246,130596
