year,male,female,total
2019,38895,39870,78765
2020,38934,40001,78935
2021,38962,40117,79079
2022,38971,40223,79194
2023,38963,40306,79269
2024,38934,40372,79306
2025,38910,40442,79352
2026,38879,40494,79373
2027,38836,40536,79372
2028,38776,40556,79332
2029,38695,40564,79259
2030,38601,40553,79154
2031,38491,40525,79016
2032,38363,40476,78839
2033,38220,40411,78631
2034,38056,40320,78376
2035,37912,40254,78166
2036,37750,40161,77911
2037,37572,40044,77616
2038,37378,39907,77285
2039,37161,39749,76910
2040,36932,39565,76497
2041,36683,39357,76040
2042,36417,39127,75544
2043,36139,38883,75022
2044,35851,38613,74464
2045,35578,38366,73944
2046,35288,38097,73385
2047,34975,37801,72776
2048,34650,37481,72131
2049,34306,37141,71447
2050,33958,36782,70740
2051,33590,36401,69991
2052,33213,36009,69222
2053,32826,35601,68427
2054,32430,35182,67612
2055,32056,34790,66846
2056,31673,34389,66062
2057,31281,33977,65258
2058,30882,33551,64433
2059,30473,33117,63590
2060,30057,32679,62736
2061,29634,32227,61861
2062,29205,31768,60973
2063,28774,31295,60069
2064,28339,30819,59158
2065,27924,30369,58293
