year,male,female,total
2019,85192,92796,177988
2020,85103,92887,177990
2021,84988,92947,177935
2022,84843,92977,177820
2023,84670,92973,177643
2024,84459,92941,177400
2025,84267,92923,177190
2026,84048,92864,176912
2027,83796,92767,176563
2028,83500,92626,176126
2029,83162,92443,175605
2030,82782,92199,174981
2031,82354,91914,174268
2032,81879,91575,173454
2033,81359,91179,172538
2034,80794,90726,171520
2035,80271,90323,170594
2036,79709,89862,169571
2037,79099,89349,168448
2038,78451,88778,167229
2039,77770,88147,165917
2040,77048,87459,164507
2041,76295,86721,163016
2042,75510,85931,161441
2043,74699,85091,159790
2044,73856,84201,158057
2045,73072,83387,156459
2046,72269,82514,154783
2047,71440,81586,153026
2048,70584,80610,151194
2049,69710,79591,149301
2050,68821,78530,147351
2051,67915,77429,145344
2052,66994,76299,143293
2053,66070,75148,141218
2054,65143,73976,139119
2055,64272,72882,137154
2056,63386,71764,135150
2057,62494,70638,133132
2058,61594,69489,131083
2059,60694,68326,129020
2060,59788,67159,126947
2061,58875,65980,124855
2062,57960,64798,122758
2063,57043,63604,120647
2064,56121,62421,118542
2065,55245,61313,116558
