year,male,female,total
2019,19973,19598,39571
2020,19909,19547,39456
2021,19841,19496,39337
2022,19769,19438,39207
2023,19690,19370,39060
2024,19605,19297,38902
2025,19525,19234,38759
2026,19437,19171,38608
2027,19342,19098,38440
2028,19239,19010,38249
2029,19123,18922,38045
2030,19003,18828,37831
2031,18873,18726,37599
2032,18723,18616,37339
2033,18568,18495,37063
2034,18402,18366,36768
2035,18249,18254,36503
2036,18084,18130,36214
2037,17910,18001,35911
2038,17725,17863,35588
2039,17529,17716,35245
2040,17323,17565,34888
2041,17111,17404,34515
2042,16883,17234,34117
2043,16658,17059,33717
2044,16422,16875,33297
2045,16197,16709,32906
2046,15964,16531,32495
2047,15730,16344,32074
2048,15488,16149,31637
2049,15244,15940,31184
2050,15001,15734,30735
2051,14758,15519,30277
2052,14517,15303,29820
2053,14280,15084,29364
2054,14037,14864,28901
2055,13810,14657,28467
2056,13579,14451,28030
2057,13356,14244,27600
2058,13137,14033,27170
2059,12911,13817,26728
2060,12690,13600,26290
2061,12472,13382,25854
2062,12250,13164,25414
2063,12031,12948,24979
2064,11814,12730,24544
2065,11609,12526,24135
