year,male,female,total
2019,98921,102831,201752
2020,99125,103194,202319
2021,99298,103534,202832
2022,99436,103844,203280
2023,99538,104122,203660
2024,99604,104363,203967
2025,99679,104617,204296
2026,99721,104837,204558
2027,99716,105016,204732
2028,99663,105152,204815
2029,99559,105233,204792
2030,99397,105255,204652
2031,99177,105221,204398
2032,98898,105124,204022
2033,98555,104969,203524
2034,98152,104751,202903
2035,97782,104567,202349
2036,97347,104311,201658
2037,96856,103994,200850
2038,96309,103610,199919
2039,95711,103164,198875
2040,95058,102650,197708
2041,94350,102067,196417
2042,93604,101424,195028
2043,92818,100727,193545
2044,91993,99969,191962
2045,91221,99264,190485
2046,90413,98508,188921
2047,89563,97683,187246
2048,88685,96799,185484
2049,87774,95848,183622
2050,86832,94852,181684
2051,85869,93806,179675
2052,84888,92722,177610
2053,83879,91600,175479
2054,82863,90440,173303
2055,81903,89356,171259
2056,80926,88242,169168
2057,79941,87114,167055
2058,78936,85951,164887
2059,77918,84762,162680
2060,76892,83562,160454
2061,75853,82347,158200
2062,74803,81111,155914
2063,73746,79870,153616
2064,72681,78623,151304
2065,71661,77456,149117
