year,male,female,total
2019,10544,10870,21414
2020,10522,10868,21390
2021,10500,10868,21368
2022,10478,10867,21345
2023,10452,10863,21315
2024,10422,10856,21278
2025,10393,10855,21248
2026,10361,10846,21207
2027,10323,10839,21162
2028,10286,10826,21112
2029,10239,10805,21044
2030,10186,10783,20969
2031,10129,10752,20881
2032,10069,10713,20782
2033,10002,10668,20670
2034,9925,10622,20547
2035,9854,10577,20431
2036,9778,10528,20306
2037,9695,10473,20168
2038,9607,10409,20016
2039,9511,10341,19852
2040,9406,10267,19673
2041,9300,10187,19487
2042,9192,10104,19296
2043,9077,10016,19093
2044,8958,9924,18882
2045,8844,9840,18684
2046,8731,9752,18483
2047,8617,9659,18276
2048,8500,9560,18060
2049,8379,9456,17835
2050,8261,9352,17613
2051,8142,9244,17386
2052,8023,9134,17157
2053,7900,9017,16917
2054,7782,8900,16682
2055,7672,8792,16464
2056,7562,8675,16237
2057,7447,8558,16005
2058,7332,8440,15772
2059,7220,8322,15542
2060,7108,8201,15309
2061,6998,8077,15075
2062,6891,7952,14843
2063,6782,7826,14608
2064,6673,7693,14366
2065,6570,7569,14139
