year,male,female,total
2019,4710,3988,8698
2020,4670,3955,8625
2021,4631,3924,8555
2022,4592,3889,8481
2023,4546,3854,8400
2024,4497,3820,8317
2025,4451,3788,8239
2026,4407,3752,8159
2027,4359,3715,8074
2028,4311,3679,7990
2029,4262,3639,7901
2030,4213,3595,7808
2031,4162,3554,7716
2032,4107,3514,7621
2033,4049,3473,7522
2034,3988,3430,7418
2035,3933,3394,7327
2036,3876,3357,7233
2037,3814,3321,7135
2038,3751,3283,7034
2039,3688,3244,6932
2040,3624,3205,6829
2041,3557,3163,6720
2042,3491,3120,6611
2043,3422,3079,6501
2044,3353,3036,6389
2045,3290,2999,6289
2046,3225,2962,6187
2047,3160,2923,6083
2048,3096,2882,5978
2049,3030,2840,5870
2050,2965,2798,5763
2051,2902,2755,5657
2052,2837,2708,5545
2053,2773,2662,5435
2054,2709,2618,5327
2055,2652,2577,5229
2056,2591,2535,5126
2057,2529,2494,5023
2058,2468,2454,4922
2059,2410,2413,4823
2060,2351,2373,4724
2061,2297,2335,4632
2062,2246,2300,4546
2063,2196,2263,4459
2064,2145,2222,4367
2065,2099,2182,4281
