year,male,female,total
2019,74253,77927,152180
2020,74218,78029,152247
2021,74164,78110,152274
2022,74089,78157,152246
2023,73981,78169,152150
2024,73855,78162,152017
2025,73751,78166,151917
2026,73628,78159,151787
2027,73482,78117,151599
2028,73309,78050,151359
2029,73113,77953,151066
2030,72895,77823,150718
2031,72646,77666,150312
2032,72370,77475,149845
2033,72064,77260,149324
2034,71729,77013,148742
2035,71435,76809,148244
2036,71107,76572,147679
2037,70749,76302,147051
2038,70364,75998,146362
2039,69957,75660,145617
2040,69521,75287,144808
2041,69059,74884,143943
2042,68568,74454,143022
2043,68057,73995,142052
2044,67518,73504,141022
2045,67027,73064,140091
2046,66502,72584,139086
2047,65949,72057,138006
2048,65366,71492,136858
2049,64758,70888,135646
2050,64122,70248,134370
2051,63456,69566,133022
2052,62768,68845,131613
2053,62062,68104,130166
2054,61333,67332,128665
2055,60641,66607,127248
2056,59935,65863,125798
2057,59211,65092,124303
2058,58464,64302,122766
2059,57710,63485,121195
2060,56951,62652,119603
2061,56181,61809,117990
2062,55400,60940,116340
2063,54613,60057,114670
2064,53824,59175,112999
2065,53069,58333,111402
