year,male,female,total
2019,106856,110590,217446
2020,106835,110760,217595
2021,106801,110894,217695
2022,106730,111001,217731
2023,106617,111060,217677
2024,106484,111089,217573
2025,106371,111143,217514
2026,106244,111170,217414
2027,106099,111178,217277
2028,105926,111158,217084
2029,105733,111112,216845
2030,105521,111055,216576
2031,105294,110968,216262
2032,105052,110862,215914
2033,104795,110742,215537
2034,104521,110607,215128
2035,104317,110543,214860
2036,104093,110454,214547
2037,103842,110339,214181
2038,103574,110202,213776
2039,103278,110035,213313
2040,102952,109827,212779
2041,102588,109584,212172
2042,102194,109298,211492
2043,101759,108963,210722
2044,101278,108584,209862
2045,100834,108255,209089
2046,100334,107859,208193
2047,99772,107387,207159
2048,99145,106844,205989
2049,98460,106218,204678
2050,97708,105531,203239
2051,96901,104762,201663
2052,96031,103932,199963
2053,95115,103051,198166
2054,94153,102109,196262
2055,93230,101213,194443
2056,92268,100270,192538
2057,91275,99277,190552
2058,90249,98239,188488
2059,89200,97162,186362
2060,88142,96055,184197
2061,87069,94927,181996
2062,85990,93755,179745
2063,84900,92560,177460
2064,83817,91347,175164
2065,82787,90196,172983
