year,male,female,total
2019,6928,5882,12810
2020,6884,5857,12741
2021,6841,5830,12671
2022,6795,5803,12598
2023,6749,5776,12525
2024,6703,5751,12454
2025,6660,5732,12392
2026,6617,5711,12328
2027,6569,5689,12258
2028,6523,5665,12188
2029,6474,5633,12107
2030,6419,5605,12024
2031,6363,5577,11940
2032,6306,5546,11852
2033,6247,5512,11759
2034,6181,5479,11660
2035,6120,5447,11567
2036,6058,5416,11474
2037,5993,5379,11372
2038,5925,5341,11266
2039,5857,5303,11160
2040,5783,5264,11047
2041,5712,5219,10931
2042,5634,5176,10810
2043,5555,5131,10686
2044,5473,5084,10557
2045,5392,5043,10435
2046,5313,4999,10312
2047,5232,4951,10183
2048,5149,4902,10051
2049,5065,4852,9917
2050,4981,4801,9782
2051,4900,4745,9645
2052,4817,4691,9508
2053,4736,4637,9373
2054,4662,4584,9246
2055,4590,4535,9125
2056,4519,4486,9005
2057,4447,4434,8881
2058,4377,4384,8761
2059,4307,4335,8642
2060,4239,4285,8524
2061,4171,4232,8403
2062,4105,4175,8280
2063,4038,4116,8154
2064,3971,4060,8031
2065,3909,4010,7919
