year,male,female,total
2019,39418,38459,77877
2020,39396,38543,77939
2021,39369,38620,77989
2022,39325,38682,78007
2023,39272,38733,78005
2024,39217,38778,77995
2025,39176,38829,78005
2026,39126,38873,77999
2027,39069,38908,77977
2028,39000,38925,77925
2029,38916,38936,77852
2030,38819,38928,77747
2031,38710,38905,77615
2032,38585,38862,77447
2033,38445,38800,77245
2034,38284,38719,77003
2035,38138,38654,76792
2036,37976,38570,76546
2037,37796,38471,76267
2038,37599,38355,75954
2039,37388,38220,75608
2040,37160,38066,75226
2041,36910,37893,74803
2042,36648,37706,74354
2043,36368,37502,73870
2044,36070,37277,73347
2045,35799,37074,72873
2046,35507,36849,72356
2047,35199,36604,71803
2048,34878,36340,71218
2049,34535,36057,70592
2050,34180,35754,69934
2051,33815,35429,69244
2052,33435,35092,68527
2053,33051,34743,67794
2054,32663,34376,67039
2055,32295,34037,66332
2056,31922,33686,65608
2057,31541,33322,64863
2058,31155,32948,64103
2059,30764,32562,63326
2060,30365,32165,62530
2061,29961,31758,61719
2062,29553,31348,60901
2063,29143,30931,60074
2064,28737,30512,59249
2065,28345,30113,58458
