year,male,female,total
2019,96370,97260,193630
2020,96562,97600,194162
2021,96713,97914,194627
2022,96806,98182,194988
2023,96861,98406,195267
2024,96878,98598,195476
2025,96899,98796,195695
2026,96901,98978,195879
2027,96885,99146,196031
2028,96848,99292,196140
2029,96791,99424,196215
2030,96724,99538,196262
2031,96639,99642,196281
2032,96551,99741,196292
2033,96454,99835,196289
2034,96352,99921,196273
2035,96303,100060,196363
2036,96245,100188,196433
2037,96180,100312,196492
2038,96099,100416,196515
2039,96009,100504,196513
2040,95890,100566,196456
2041,95740,100598,196338
2042,95566,100596,196162
2043,95355,100558,195913
2044,95099,100476,195575
2045,94873,100425,195298
2046,94586,100306,194892
2047,94226,100113,194339
2048,93796,99848,193644
2049,93292,99502,192794
2050,92715,99075,191790
2051,92065,98564,190629
2052,91335,97977,189312
2053,90538,97310,187848
2054,89681,96568,186249
2055,88836,95847,184683
2056,87941,95055,182996
2057,86997,94203,181200
2058,86017,93287,179304
2059,84998,92317,177315
2060,83959,91292,175251
2061,82898,90226,173124
2062,81826,89110,170936
2063,80744,87961,168705
2064,79663,86781,166444
2065,78634,85652,164286
