year,male,female,total
2019,15073,13022,28095
2020,14964,12967,27931
2021,14855,12914,27769
2022,14746,12858,27604
2023,14634,12801,27435
2024,14525,12743,27268
2025,14426,12696,27122
2026,14324,12648,26972
2027,14219,12599,26818
2028,14112,12543,26655
2029,14001,12483,26484
2030,13885,12424,26309
2031,13770,12361,26131
2032,13648,12296,25944
2033,13523,12227,25750
2034,13390,12157,25547
2035,13276,12095,25371
2036,13152,12032,25184
2037,13020,11959,24979
2038,12880,11883,24763
2039,12735,11803,24538
2040,12583,11711,24294
2041,12426,11621,24047
2042,12264,11523,23787
2043,12098,11421,23519
2044,11930,11318,23248
2045,11769,11219,22988
2046,11606,11121,22727
2047,11439,11017,22456
2048,11270,10910,22180
2049,11096,10796,21892
2050,10920,10679,21599
2051,10747,10558,21305
2052,10574,10434,21008
2053,10401,10309,20710
2054,10234,10184,20418
2055,10078,10066,20144
2056,9917,9942,19859
2057,9762,9822,19584
2058,9610,9701,19311
2059,9455,9577,19032
2060,9302,9455,18757
2061,9156,9333,18489
2062,9007,9213,18220
2063,8859,9088,17947
2064,8713,8964,17677
2065,8572,8844,17416
