year,male,female,total
2019,47240,45559,92799
2020,47287,45699,92986
2021,47324,45828,93152
2022,47348,45947,93295
2023,47357,46054,93411
2024,47346,46142,93488
2025,47344,46243,93587
2026,47328,46334,93662
2027,47297,46410,93707
2028,47242,46464,93706
2029,47164,46497,93661
2030,47065,46516,93581
2031,46944,46509,93453
2032,46794,46484,93278
2033,46621,46437,93058
2034,46422,46366,92788
2035,46244,46316,92560
2036,46038,46248,92286
2037,45808,46153,91961
2038,45555,46038,91593
2039,45278,45901,91179
2040,44975,45741,90716
2041,44653,45563,90216
2042,44316,45363,89679
2043,43961,45135,89096
2044,43591,44890,88481
2045,43244,44672,87916
2046,42885,44433,87318
2047,42511,44169,86680
2048,42119,43886,86005
2049,41713,43577,85290
2050,41297,43258,84555
2051,40874,42911,83785
2052,40435,42544,82979
2053,39993,42167,82160
2054,39542,41771,81313
2055,39116,41402,80518
2056,38681,41011,79692
2057,38240,40615,78855
2058,37786,40199,77985
2059,37325,39767,77092
2060,36857,39322,76179
2061,36382,38858,75240
2062,35902,38383,74285
2063,35417,37902,73319
2064,34932,37411,72343
2065,34470,36941,71411
