year,male,female,total
2019,48448,46940,95388
2020,48389,47006,95395
2021,48326,47067,95393
2022,48261,47117,95378
2023,48177,47156,95333
2024,48081,47182,95263
2025,47998,47216,95214
2026,47910,47239,95149
2027,47812,47241,95053
2028,47689,47231,94920
2029,47549,47200,94749
2030,47390,47149,94539
2031,47213,47072,94285
2032,47018,46978,93996
2033,46802,46859,93661
2034,46557,46713,93270
2035,46339,46594,92933
2036,46094,46453,92547
2037,45827,46286,92113
2038,45541,46099,91640
2039,45231,45883,91114
2040,44896,45647,90543
2041,44543,45390,89933
2042,44177,45112,89289
2043,43791,44816,88607
2044,43390,44498,87888
2045,43021,44210,87231
2046,42635,43898,86533
2047,42232,43569,85801
2048,41811,43215,85026
2049,41381,42845,84226
2050,40945,42459,83404
2051,40493,42058,82551
2052,40029,41635,81664
2053,39554,41204,80758
2054,39073,40762,79835
2055,38621,40352,78973
2056,38163,39931,78094
2057,37693,39502,77195
2058,37216,39059,76275
2059,36736,38603,75339
2060,36250,38135,74385
2061,35761,37663,73424
2062,35269,37177,72446
2063,34771,36686,71457
2064,34270,36196,70466
2065,33789,35732,69521
