year,male,female,total
2019,218882,233024,451906
2020,219124,233631,452755
2021,219307,234200,453507
2022,219414,234694,454108
2023,219442,235112,454554
2024,219401,235451,454852
2025,219400,235823,455223
2026,219331,236124,455455
2027,219202,236361,455563
2028,218993,236502,455495
2029,218701,236558,455259
2030,218313,236512,454825
2031,217833,236364,454197
2032,217265,236119,453384
2033,216610,235770,452380
2034,215856,235299,451155
2035,215204,234938,450142
2036,214440,234458,448898
2037,213576,233856,447432
2038,212615,233141,445756
2039,211562,232305,443867
2040,210399,231339,441738
2041,209146,230256,439402
2042,207798,229052,436850
2043,206366,227724,434090
2044,204854,226282,431136
2045,203440,224967,428407
2046,201934,223523,425457
2047,200336,221929,422265
2048,198650,220204,418854
2049,196876,218340,415216
2050,195035,216371,411406
2051,193109,214284,407393
2052,191118,212097,403215
2053,189065,209820,398885
2054,186955,207460,394415
2055,184969,205251,390220
2056,182928,202953,385881
2057,180836,200593,381429
2058,178703,198146,376849
2059,176526,195627,372153
2060,174323,193054,367377
2061,172095,190420,362515
2062,169830,187729,357559
2063,167554,184995,352549
2064,165263,182229,347492
2065,163078,179613,342691
