year,male,female,total
2019,86808,85910,172718
2020,86882,86186,173068
2021,86943,86444,173387
2022,86977,86675,173652
2023,86976,86881,173857
2024,86954,87062,174016
2025,86953,87253,174206
2026,86924,87417,174341
2027,86870,87558,174428
2028,86776,87658,174434
2029,86651,87723,174374
2030,86481,87749,174230
2031,86267,87740,174007
2032,86017,87691,173708
2033,85721,87599,173320
2034,85389,87467,172856
2035,85087,87367,172454
2036,84741,87219,171960
2037,84352,87032,171384
2038,83926,86806,170732
2039,83460,86534,169994
2040,82957,86221,169178
2041,82417,85861,168278
2042,81851,85470,167321
2043,81256,85038,166294
2044,80630,84567,165197
2045,80049,84137,164186
2046,79441,83668,163109
2047,78800,83153,161953
2048,78133,82594,160727
2049,77434,81983,159417
2050,76720,81338,158058
2051,75971,80648,156619
2052,75197,79918,155115
2053,74403,79160,153563
2054,73590,78359,151949
2055,72824,77611,150435
2056,72037,76831,148868
2057,71227,76028,147255
2058,70401,75196,145597
2059,69553,74326,143879
2060,68693,73435,142128
2061,67821,72519,140340
2062,66931,71594,138525
2063,66030,70639,136669
2064,65122,69683,134805
2065,64253,68780,133033
