year,male,female,total
2019,4285,4015,8300
2020,4266,4005,8271
2021,4247,3989,8236
2022,4229,3974,8203
2023,4210,3960,8170
2024,4189,3946,8135
2025,4172,3931,8103
2026,4149,3915,8064
2027,4125,3899,8024
2028,4094,3881,7975
2029,4061,3862,7923
2030,4025,3839,7864
2031,3988,3816,7804
2032,3950,3792,7742
2033,3908,3763,7671
2034,3868,3735,7603
2035,3830,3710,7540
2036,3792,3681,7473
2037,3755,3653,7408
2038,3713,3625,7338
2039,3669,3596,7265
2040,3619,3565,7184
2041,3571,3533,7104
2042,3522,3501,7023
2043,3471,3467,6938
2044,3419,3431,6850
2045,3371,3399,6770
2046,3321,3364,6685
2047,3272,3328,6600
2048,3226,3291,6517
2049,3180,3254,6434
2050,3133,3218,6351
2051,3085,3181,6266
2052,3038,3142,6180
2053,2991,3099,6090
2054,2945,3056,6001
2055,2902,3018,5920
2056,2857,2976,5833
2057,2809,2933,5742
2058,2759,2891,5650
2059,2708,2848,5556
2060,2656,2805,5461
2061,2606,2763,5369
2062,2559,2716,5275
2063,2515,2672,5187
2064,2471,2625,5096
2065,2428,2581,5009
