year,male,female,total
2019,70320,77124,147444
2020,70270,77197,147467
2021,70206,77254,147460
2022,70120,77283,147403
2023,70008,77283,147291
2024,69869,77257,147126
2025,69741,77243,146984
2026,69584,77198,146782
2027,69407,77119,146526
2028,69189,76994,146183
2029,68933,76834,145767
2030,68642,76629,145271
2031,68312,76382,144694
2032,67943,76095,144038
2033,67536,75759,143295
2034,67093,75382,142475
2035,66686,75050,141736
2036,66237,74674,140911
2037,65755,74257,140012
2038,65245,73798,139043
2039,64706,73299,138005
2040,64149,72759,136908
2041,63560,72187,135747
2042,62958,71579,134537
2043,62342,70943,133285
2044,61711,70274,131985
2045,61130,69661,130791
2046,60531,69012,129543
2047,59911,68323,128234
2048,59273,67603,126876
2049,58625,66846,125471
2050,57967,66061,124028
2051,57296,65247,122543
2052,56619,64420,121039
2053,55937,63580,119517
2054,55244,62715,117959
2055,54591,61910,116501
2056,53933,61096,115029
2057,53268,60259,113527
2058,52587,59406,111993
2059,51898,58540,110438
2060,51204,57663,108867
2061,50505,56779,107284
2062,49796,55888,105684
2063,49077,54993,104070
2064,48352,54094,102446
2065,47656,53251,100907
